"Institution Name (RSSD ID)","Location","Total Assets 2","Date 2"
"MUFG AMERICAS HOLDINGS CORPORATION (1378434)","NEW YORK, NY","$116,210,191",2015-12-31
"KEYCORP (1068025)","CLEVELAND, OH","$95,270,648",2015-12-31
"BANCWEST CORPORATION (1025608)","HONOLULU, HI","$95,099,966",2015-12-31
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX","$89,967,342",2015-12-31
"DISCOVER FINANCIAL SERVICES (3846375)","RIVERWOODS, IL","$86,936,159",2015-12-31
"SYNCHRONY FINANCIAL (4504654)","STAMFORD, CT","$84,135,487",2015-12-31
"COMERICA INCORPORATED (1199844)","DALLAS, TX","$71,983,051",2015-12-31
"HUNTINGTON BANCSHARES INCORPORATED (1068191)","COLUMBUS, OH","$71,044,551",2015-12-31
"CIT GROUP INC. (1036967)","LIVINGSTON, NJ","$67,498,790",2015-12-31
"ZIONS BANCORPORATION (1027004)","SALT LAKE CITY, UT","$59,669,525",2015-12-31
"DEUTSCHE BANK TRUST CORPORATION (1032473)","NEW YORK, NY","$53,554,000",2015-12-31
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY","$50,317,796",2015-12-31
"E*TRADE FINANCIAL CORPORATION (3412583)","NEW YORK, NY","$45,426,559",2015-12-31
"SVB FINANCIAL GROUP (1031449)","SANTA CLARA, CA","$44,698,667",2015-12-31
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY","$39,925,857",2015-12-31
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT","$38,873,893",2015-12-31
"NATIONWIDE MUTUAL INSURANCE COMPANY (3828072)","COLUMBUS, OH","$35,923,712",2015-12-31
"POPULAR, INC. (1129382)","SAN JUAN, PR","$35,769,000",2015-12-31
"MUTUAL OF OMAHA INSURANCE COMPANY (1583836)","OMAHA, NE","$35,629,398",2015-12-31
"JOHN DEERE CAPITAL CORPORATION (3843075)","RENO, NV","$33,532,782",2015-12-31
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA","$32,351,172",2015-12-31
"BOK FINANCIAL CORPORATION (1883693)","TULSA, OK","$31,495,590",2015-12-31
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC","$31,475,934",2015-12-31
"SYNOVUS FINANCIAL CORP. (1078846)","COLUMBUS, GA","$28,792,653",2015-12-31
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX","$28,603,199",2015-12-31
"BARCLAYS DELAWARE HOLDINGS LLC (2938451)","WILMINGTON, DE","$27,998,160",2015-12-31
"ASSOCIATED BANC-CORP (1199563)","GREEN BAY, WI","$27,715,021",2015-12-31
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL","$26,903,571",2015-12-31
"EVERBANK FINANCIAL CORP (3838857)","JACKSONVILLE, FL","$26,601,026",2015-12-31
"FIRST HORIZON NATIONAL CORPORATION (1094640)","MEMPHIS, TN","$26,196,388",2015-12-31
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY","$25,782,912",2015-12-31
"FIRSTMERIT CORPORATION (1070804)","AKRON, OH","$25,537,212",2015-12-31
"WEBSTER FINANCIAL CORPORATION (1145476)","WATERBURY, CT","$24,694,548",2015-12-31
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO","$24,625,092",2015-12-31
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL","$23,883,467",2015-12-31
"UMPQUA HOLDINGS CORPORATION (2747644)","PORTLAND, OR","$23,387,248",2015-12-31
"WINTRUST FINANCIAL CORPORATION (2260406)","ROSEMONT, IL","$22,926,284",2015-12-31
"HANCOCK HOLDING COMPANY (1086533)","GULFPORT, MS","$22,848,776",2015-12-31
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO","$22,556,564",2015-12-31
"MACY'S, INC. (4103310)","CINCINNATI, OH","$22,085,979",2015-12-31
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX","$22,039,116",2015-12-31
"VALLEY NATIONAL BANCORP (1048773)","WAYNE, NJ","$21,612,616",2015-12-31
"PACWEST BANCORP (2875332)","LOS ANGELES, CA","$21,288,975",2015-12-31
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ","$20,898,693",2015-12-31
"TCF FINANCIAL CORPORATION (2389941)","WAYZATA, MN","$20,703,190",2015-12-31
"IBERIABANK CORPORATION (2291914)","LAFAYETTE, LA","$19,504,068",2015-12-31
"UMB FINANCIAL CORPORATION (1049828)","KANSAS CITY, MO","$19,094,245",2015-12-31
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX","$18,909,174",2015-12-31
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE","$18,346,653",2015-12-31
"FULTON FINANCIAL CORPORATION (1117129)","LANCASTER, PA","$17,867,010",2015-12-31
"F.N.B. CORPORATION (3005332)","PITTSBURGH, PA","$17,557,662",2015-12-31
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL","$17,259,421",2015-12-31
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR","$15,864,120",2015-12-31
"MB FINANCIAL, INC. (1090987)","CHICAGO, IL","$15,585,007",2015-12-31
"FIRSTBANK HOLDING COMPANY (1060627)","LAKEWOOD, CO","$15,553,681",2015-12-31
"BANK OF HAWAII CORPORATION (1025309)","HONOLULU, HI","$15,501,362",2015-12-31
"ASTORIA FINANCIAL CORPORATION (2504128)","LAKE SUCCESS, NY","$15,076,211",2015-12-31
"MODERN WOODMEN OF AMERICA (3057395)","ROCK ISLAND, IL","$14,754,514",2015-12-31
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA","$14,684,899",2015-12-31
"WESTERN ALLIANCE BANCORPORATION (2349815)","PHOENIX, AZ","$14,275,089",2015-12-31
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS","$13,802,637",2015-12-31
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI","$13,714,830",2015-12-31
"STIFEL FINANCIAL CORP. (3063622)","SAINT LOUIS, MO","$13,335,915",2015-12-31
"CATHAY GENERAL BANCORP (1843080)","LOS ANGELES, CA","$13,254,126",2015-12-31
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY","$12,795,071",2015-12-31
"TRUSTMARK CORPORATION (1079562)","JACKSON, MS","$12,678,896",2015-12-31
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV","$12,577,944",2015-12-31
"FIRST BANCORP (2744894)","SAN JUAN, PR","$12,573,019",2015-12-31
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH","$12,390,594",2015-12-31
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO","$12,041,047",2015-12-31
"OLD NATIONAL BANCORP (1098303)","EVANSVILLE, IN","$11,991,556",2015-12-31
"STERLING BANCORP (3083291)","MONTEBELLO, NY","$11,958,682",2015-12-31
"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX","$11,867,001",2015-12-31
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI","$11,790,196",2015-12-31
"INTERNATIONAL BANCSHARES CORPORATION (1104231)","LAREDO, TX","$11,772,869",2015-12-31
"MIDLAND FINANCIAL CO. (2568278)","OKLAHOMA CITY, OK","$11,605,700",2015-12-31
"NORDSTROM, INC. (1760589)","SEATTLE, WA","$11,419,552",2015-12-31
"BREMER FINANCIAL CORPORATION (1020180)","SAINT PAUL, MN","$10,723,184",2015-12-31
"COUNTRY LIFE INSURANCE COMPANY (3825204)","BLOOMINGTON, IL","$10,092,985",2015-12-31
