"Institution Name (RSSD ID)","Location","Total Assets 2","Date 2"
"JPMORGAN CHASE & CO. (1039502)","NEW YORK, NY","$2,351,698,000",2015-12-31
"BANK OF AMERICA CORPORATION (1073757)","CHARLOTTE, NC","$2,147,391,000",2015-12-31
"WELLS FARGO & COMPANY (1120754)","SAN FRANCISCO, CA","$1,787,632,000",2015-12-31
"CITIGROUP INC. (1951350)","NEW YORK, NY","$1,731,210,000",2015-12-31
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$861,419,000",2015-12-31
"MORGAN STANLEY (2162966)","NEW YORK, NY","$787,465,000",2015-12-31
"U.S. BANCORP (1119794)","MINNEAPOLIS, MN","$421,853,000",2015-12-31
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$393,780,000",2015-12-31
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA","$358,690,085",2015-12-31
"CAPITAL ONE FINANCIAL CORPORATION (2277860)","MCLEAN, VA","$334,179,916",2015-12-31
"GE CAPITAL GLOBAL HOLDINGS, LLC (4932239)","NORWALK, CT","$318,826,145",2015-12-31
"HSBC NORTH AMERICA HOLDINGS INC. (3232316)","NEW YORK, NY","$271,888,608",2015-12-31
"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170)","NEW YORK, NY","$270,094,423",2015-12-31
"TD GROUP US HOLDINGS LLC (3606542)","WILMINGTON, DE","$267,143,521",2015-12-31
"STATE STREET CORPORATION (1111435)","BOSTON, MA","$245,198,879",2015-12-31
"BB&T CORPORATION (1074156)","WINSTON SALEM, NC","$209,947,022",2015-12-31
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$190,989,105",2015-12-31
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$183,718,000",2015-12-31
"AMERICAN EXPRESS COMPANY (1275216)","NEW YORK, NY","$161,172,000",2015-12-31
"ALLY FINANCIAL INC. (1562859)","DETROIT, MI","$158,581,000",2015-12-31
"FIFTH THIRD BANCORP (1070345)","CINCINNATI, OH","$141,082,059",2015-12-31
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$138,574,068",2015-12-31
"STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207)","BLOOMINGTON, IL","$138,494,733",2015-12-31
"UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376)","SAN ANTONIO, TX","$137,186,701",2015-12-31
"RBC USA HOLDCO CORPORATION (3226762)","NEW YORK, NY","$133,133,492",2015-12-31
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA","$127,633,001",2015-12-31
"REGIONS FINANCIAL CORPORATION (3242838)","BIRMINGHAM, AL","$126,234,344",2015-12-31
"BMO FINANCIAL CORP. (1245415)","WILMINGTON, DE","$125,656,772",2015-12-31
"M&T BANK CORPORATION (1037003)","BUFFALO, NY","$122,787,884",2015-12-31
"NORTHERN TRUST CORPORATION (1199611)","CHICAGO, IL","$116,749,572",2015-12-31
