"Institution Name (RSSD ID)","Location","Total Assets 11","Date 11"
"BOK FINANCIAL CORPORATION (1883693)","TULSA, OK","$27,174,025",2013-09-30
"SYNOVUS FINANCIAL CORP. (1078846)","COLUMBUS, GA","$26,218,360",2013-09-30
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO","$24,752,027",2013-09-30
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA","$24,493,454",2013-09-30
"IMB HOLDCO LLC (3923614)","PASADENA, CA","$24,269,655",2013-09-30
"FIRST HORIZON NATIONAL CORPORATION (1094640)","MEMPHIS, TN","$24,194,150",2013-09-30
"FIRSTMERIT CORPORATION (1070804)","AKRON, OH","$24,140,030",2013-09-30
"SVB FINANCIAL GROUP (1031449)","SANTA CLARA, CA","$23,757,075",2013-09-30
"ASSOCIATED BANC-CORP (1199563)","GREEN BAY, WI","$23,688,675",2013-09-30
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX","$23,566,006",2013-09-30
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL","$23,186,120",2013-09-30
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO","$22,462,282",2013-09-30
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC","$21,511,352",2013-09-30
"BARCLAYS DELAWARE HOLDINGS LLC (2938451)","WILMINGTON, DE","$21,025,405",2013-09-30
"WEBSTER FINANCIAL CORPORATION (1145476)","WATERBURY, CT","$20,614,348",2013-09-30
"MACY'S, INC. (4103310)","CINCINNATI, OH","$20,430,578",2013-09-30
"HANCOCK HOLDING COMPANY (1086533)","GULFPORT, MS","$18,820,201",2013-09-30
"AMERITAS MUTUAL HOLDING COMPANY (3910641)","LINCOLN, NE","$18,787,220",2013-09-30
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA","$18,481,150",2013-09-30
"TCF FINANCIAL CORPORATION (2389941)","WAYZATA, MN","$18,417,601",2013-09-30
"WINTRUST FINANCIAL CORPORATION (2260406)","ROSEMONT, IL","$17,682,548",2013-09-30
"EVERBANK FINANCIAL CORP (3838857)","JACKSONVILLE, FL","$17,612,089",2013-09-30
"FULTON FINANCIAL CORPORATION (1117129)","LANCASTER, PA","$17,023,087",2013-09-30
"UMB FINANCIAL CORPORATION (1049828)","KANSAS CITY, MO","$16,184,233",2013-09-30
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX","$16,060,463",2013-09-30
"ASTORIA FINANCIAL CORPORATION (2504128)","LAKE SUCCESS, NY","$16,022,089",2013-09-30
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE","$15,977,890",2013-09-30
"VALLEY NATIONAL BANCORP (1048773)","WAYNE, NJ","$15,976,943",2013-09-30
"FRANKLIN RESOURCES, INC. (1246216)","SAN MATEO, CA","$15,280,194",2013-09-30
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL","$14,308,014",2013-09-30
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR","$13,986,055",2013-09-30
"BANK OF HAWAII CORPORATION (1025309)","HONOLULU, HI","$13,916,694",2013-09-30
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL","$13,869,140",2013-09-30
"INVESTORS BANCORP, MHC (2477754)","SHORT HILLS, NJ","$13,751,425",2013-09-30
"FIRSTBANK HOLDING COMPANY (1060627)","LAKEWOOD, CO","$13,169,177",2013-09-30
"IBERIABANK CORPORATION (2291914)","LAFAYETTE, LA","$13,145,077",2013-09-30
"MODERN WOODMEN OF AMERICA (3057395)","ROCK ISLAND, IL","$13,130,667",2013-09-30
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA","$13,082,859",2013-09-30
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS","$12,930,641",2013-09-30
"F.N.B. CORPORATION (3005332)","HERMITAGE, PA","$12,790,279",2013-09-30
"FIRST BANCORP (2744894)","SAN JUAN, PR","$12,787,450",2013-09-30
"INTERNATIONAL BANCSHARES CORPORATION (1104231)","LAREDO, TX","$12,076,658",2013-09-30
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY","$11,888,008",2013-09-30
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI","$11,807,815",2013-09-30
"TRUSTMARK CORPORATION (1079562)","JACKSON, MS","$11,805,197",2013-09-30
"UMPQUA HOLDINGS CORPORATION (2747644)","PORTLAND, OR","$11,573,058",2013-09-30
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH","$11,269,306",2013-09-30
"CATHAY GENERAL BANCORP (1843080)","LOS ANGELES, CA","$10,821,446",2013-09-30
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX","$10,797,757",2013-09-30
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO","$10,443,416",2013-09-30
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI","$10,429,012",2013-09-30
"COUNTRY LIFE INSURANCE COMPANY (3825204)","BLOOMINGTON, IL","$10,047,710",2013-09-30
"STERLING FINANCIAL CORPORATION (3152245)","SPOKANE, WA","$10,012,700",2013-09-30
