"Institution Name (RSSD ID)","Location","Total Assets 11","Date 11"
"JPMORGAN CHASE & CO. (1039502)","NEW YORK, NY","$2,463,309,000",2013-09-30
"BANK OF AMERICA CORPORATION (1073757)","CHARLOTTE, NC","$2,128,706,000",2013-09-30
"CITIGROUP INC. (1951350)","NEW YORK, NY","$1,899,511,000",2013-09-30
"WELLS FARGO & COMPANY (1120754)","SAN FRANCISCO, CA","$1,488,055,000",2013-09-30
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$923,359,000",2013-09-30
"MORGAN STANLEY (2162966)","NEW YORK, NY","$832,223,000",2013-09-30
"AMERICAN INTERNATIONAL GROUP, INC. (1562176)","NEW YORK, NY","$540,744,000",2013-09-30
"GENERAL ELECTRIC CAPITAL CORPORATION (1631915)","NORWALK, CT","$528,643,825",2013-09-30
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$371,957,000",2013-09-30
"U.S. BANCORP (1119794)","MINNEAPOLIS, MN","$360,681,000",2013-09-30
"HSBC NORTH AMERICA HOLDINGS INC. (3232316)","NEW YORK, NY","$309,312,154",2013-09-30
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA","$308,912,603",2013-09-30
"CAPITAL ONE FINANCIAL CORPORATION (2277860)","MCLEAN, VA","$290,217,687",2013-09-30
"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170)","NEW YORK, NY","$247,467,518",2013-09-30
"TD BANK US HOLDING COMPANY (1249196)","PORTLAND, ME","$231,673,130",2013-09-30
"STATE STREET CORPORATION (1111435)","BOSTON, MA","$216,751,956",2013-09-30
"PRINCIPAL FINANCIAL GROUP, INC. (3853449)","DES MOINES, IA","$201,687,384",2013-09-30
"BB&T CORPORATION (1074156)","WINSTON SALEM, NC","$181,050,008",2013-09-30
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$172,033,106",2013-09-30
"ALLY FINANCIAL INC. (1562859)","DETROIT, MI","$150,556,000",2013-09-30
"AMERICAN EXPRESS COMPANY (1275216)","NEW YORK, NY","$150,152,000",2013-09-30
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$140,211,000",2013-09-30
"FIFTH THIRD BANCORP (1070345)","CINCINNATI, OH","$124,939,419",2013-09-30
"STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207)","BLOOMINGTON, IL","$124,091,801",2013-09-30
"UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376)","SAN ANTONIO, TX","$121,758,503",2013-09-30
"RBS CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$120,738,247",2013-09-30
"REGIONS FINANCIAL CORPORATION (3242838)","BIRMINGHAM, AL","$116,937,255",2013-09-30
"BMO FINANCIAL CORP. (1245415)","WILMINGTON, DE","$113,051,766",2013-09-30
"UNIONBANCAL CORPORATION (1378434)","SAN FRANCISCO, CA","$105,492,129",2013-09-30
"NORTHERN TRUST CORPORATION (1199611)","CHICAGO, IL","$95,969,501",2013-09-30
"KEYCORP (1068025)","CLEVELAND, OH","$91,016,413",2013-09-30
"M&T BANK CORPORATION (1037003)","BUFFALO, NY","$84,427,485",2013-09-30
"BANCWEST CORPORATION (1025608)","HONOLULU, HI","$81,729,444",2013-09-30
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA","$77,070,780",2013-09-30
"DISCOVER FINANCIAL SERVICES (3846375)","RIVERWOODS, IL","$75,544,201",2013-09-30
"THRIVENT FINANCIAL FOR LUTHERANS (3173736)","MINNEAPOLIS, MN","$70,540,953",2013-09-30
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX","$70,087,078",2013-09-30
"DEUTSCHE BANK TRUST CORPORATION (1032473)","NEW YORK, NY","$66,067,000",2013-09-30
"COMERICA INCORPORATED (1199844)","DALLAS, TX","$64,723,310",2013-09-30
"HUNTINGTON BANCSHARES INCORPORATED (1068191)","COLUMBUS, OH","$56,648,251",2013-09-30
"ZIONS BANCORPORATION (1027004)","SALT LAKE CITY, UT","$55,188,312",2013-09-30
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY","$52,259,755",2013-09-30
"CIT GROUP INC. (1036967)","LIVINGSTON, NJ","$46,223,981",2013-09-30
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY","$45,764,133",2013-09-30
"E*TRADE FINANCIAL CORPORATION (3412583)","NEW YORK, NY","$45,547,479",2013-09-30
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ","$39,186,560",2013-09-30
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY","$37,380,836",2013-09-30
"POPULAR, INC. (1129382)","SAN JUAN, PR","$36,052,000",2013-09-30
"NATIONWIDE MUTUAL INSURANCE COMPANY (3828072)","COLUMBUS, OH","$32,483,356",2013-09-30
"MUTUAL OF OMAHA INSURANCE COMPANY (1583836)","OMAHA, NE","$32,117,623",2013-09-30
"JOHN DEERE CAPITAL CORPORATION (3843075)","RENO, NV","$31,546,545",2013-09-30
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT","$31,497,138",2013-09-30
"CITY NATIONAL CORPORATION (1027518)","LOS ANGELES, CA","$29,059,404",2013-09-30
