"Institution Name (RSSD ID)","Location","Total Assets 13","Date 13"
"JPMORGAN CHASE & CO. (1039502)","NEW YORK, NY","$2,389,349,000",2013-03-31
"BANK OF AMERICA CORPORATION (1073757)","CHARLOTTE, NC","$2,176,625,000",2013-03-31
"CITIGROUP INC. (1951350)","NEW YORK, NY","$1,881,734,000",2013-03-31
"WELLS FARGO & COMPANY (1120754)","SAN FRANCISCO, CA","$1,436,634,000",2013-03-31
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$959,426,000",2013-03-31
"MORGAN STANLEY (2162966)","NEW YORK, NY","$801,383,000",2013-03-31
"GENERAL ELECTRIC CAPITAL CORPORATION (1631915)","NORWALK, CT","$537,952,605",2013-03-31
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$355,984,000",2013-03-31
"U.S. BANCORP (1119794)","MINNEAPOLIS, MN","$355,447,000",2013-03-31
"HSBC NORTH AMERICA HOLDINGS INC. (3232316)","NEW YORK, NY","$301,737,107",2013-03-31
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA","$300,945,933",2013-03-31
"CAPITAL ONE FINANCIAL CORPORATION (2277860)","MCLEAN, VA","$300,293,699",2013-03-31
"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170)","NEW YORK, NY","$239,972,203",2013-03-31
"TD BANK US HOLDING COMPANY (1249196)","PORTLAND, ME","$222,716,131",2013-03-31
"STATE STREET CORPORATION (1111435)","BOSTON, MA","$217,852,811",2013-03-31
"PRINCIPAL FINANCIAL GROUP, INC. (3853449)","DES MOINES, IA","$200,762,850",2013-03-31
"BB&T CORPORATION (1074156)","WINSTON SALEM, NC","$180,836,757",2013-03-31
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$172,527,629",2013-03-31
"NATIONWIDE MUTUAL INSURANCE COMPANY (3828072)","COLUMBUS, OH","$171,812,600",2013-03-31
"ALLY FINANCIAL INC. (1562859)","DETROIT, MI","$166,199,000",2013-03-31
"AMERICAN EXPRESS COMPANY (1275216)","NEW YORK, NY","$156,903,000",2013-03-31
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$133,324,000",2013-03-31
"RBS CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$126,322,821",2013-03-31
"BMO FINANCIAL CORP. (1245415)","WILMINGTON, DE","$122,361,785",2013-03-31
