"Institution Name (RSSD ID)","Location","Total Assets 13","Date 13"
"FIFTH THIRD BANCORP (1070345)","CINCINNATI, OH","$120,789,641",2013-03-31
"STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207)","BLOOMINGTON, IL","$120,085,692",2013-03-31
"UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376)","SAN ANTONIO, TX","$119,886,059",2013-03-31
"REGIONS FINANCIAL CORPORATION (3242838)","BIRMINGHAM, AL","$119,717,632",2013-03-31
"UNIONBANCAL CORPORATION (1378434)","SAN FRANCISCO, CA","$96,959,643",2013-03-31
"NORTHERN TRUST CORPORATION (1199611)","CHICAGO, IL","$93,156,775",2013-03-31
"KEYCORP (1068025)","CLEVELAND, OH","$89,441,210",2013-03-31
"M&T BANK CORPORATION (1037003)","BUFFALO, NY","$82,794,833",2013-03-31
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA","$82,733,574",2013-03-31
"THRIVENT FINANCIAL FOR LUTHERANS (3173736)","MINNEAPOLIS, MN","$79,537,291",2013-03-31
"BANCWEST CORPORATION (1025608)","HONOLULU, HI","$78,851,727",2013-03-31
"DISCOVER FINANCIAL SERVICES (3846375)","RIVERWOODS, IL","$76,139,250",2013-03-31
"DEUTSCHE BANK TRUST CORPORATION (1032473)","NEW YORK, NY","$75,523,000",2013-03-31
"BBVA USA BANCSHARES, INC. (1078529)","HOUSTON, TX","$69,639,420",2013-03-31
"COMERICA INCORPORATED (1199844)","DALLAS, TX","$64,975,279",2013-03-31
"HUNTINGTON BANCSHARES INCORPORATED (1068191)","COLUMBUS, OH","$56,054,966",2013-03-31
"ZIONS BANCORPORATION (1027004)","SALT LAKE CITY, UT","$54,110,564",2013-03-31
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY","$48,613,134",2013-03-31
"E*TRADE FINANCIAL CORPORATION (3412583)","NEW YORK, NY","$44,966,314",2013-03-31
"CIT GROUP INC. (1036967)","LIVINGSTON, NJ","$44,563,888",2013-03-31
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY","$44,511,718",2013-03-31
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ","$40,283,892",2013-03-31
"POPULAR, INC. (1129382)","SAN JUAN, PR","$36,943,000",2013-03-31
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY","$36,887,625",2013-03-31
"MUTUAL OF OMAHA INSURANCE COMPANY (1583836)","OMAHA, NE","$31,422,988",2013-03-31
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT","$30,581,737",2013-03-31
"JOHN DEERE CAPITAL CORPORATION (3843075)","RENO, NV","$29,028,299",2013-03-31
"BOK FINANCIAL CORPORATION (1883693)","TULSA, OK","$27,442,638",2013-03-31
"CITY NATIONAL CORPORATION (1027518)","LOS ANGELES, CA","$27,433,754",2013-03-31
"SYNOVUS FINANCIAL CORP. (1078846)","COLUMBUS, GA","$26,212,879",2013-03-31
"IMB HOLDCO LLC (3923614)","PASADENA, CA","$25,416,957",2013-03-31
"FIRST HORIZON NATIONAL CORPORATION (1094640)","MEMPHIS, TN","$25,167,457",2013-03-31
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO","$24,765,823",2013-03-31
"ASSOCIATED BANC-CORP (1199563)","GREEN BAY, WI","$23,277,768",2013-03-31
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA","$23,102,005",2013-03-31
"SVB FINANCIAL GROUP (1031449)","SANTA CLARA, CA","$22,802,242",2013-03-31
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL","$22,735,145",2013-03-31
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX","$22,560,339",2013-03-31
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO","$22,240,695",2013-03-31
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC","$21,351,012",2013-03-31
"MACY'S, INC. (4103310)","CINCINNATI, OH","$20,991,349",2013-03-31
"WEBSTER FINANCIAL CORPORATION (1145476)","WATERBURY, CT","$20,116,020",2013-03-31
"BARCLAYS DELAWARE HOLDINGS LLC (2938451)","WILMINGTON, DE","$19,610,828",2013-03-31
"HANCOCK HOLDING COMPANY (1086533)","GULFPORT, MS","$19,092,456",2013-03-31
"AMERITAS MUTUAL HOLDING COMPANY (3910641)","LINCOLN, NE","$18,833,506",2013-03-31
"TCF FINANCIAL CORPORATION (2389941)","WAYZATA, MN","$18,540,469",2013-03-31
"EVERBANK FINANCIAL CORP (3838857)","JACKSONVILLE, FL","$18,306,488",2013-03-31
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA","$17,967,174",2013-03-31
"WINTRUST FINANCIAL CORPORATION (2260406)","ROSEMONT, IL","$17,074,247",2013-03-31
"FULTON FINANCIAL CORPORATION (1117129)","LANCASTER, PA","$16,659,671",2013-03-31
"ASTORIA FINANCIAL CORPORATION (2504128)","LAKE SUCCESS, NY","$16,210,524",2013-03-31
"VALLEY NATIONAL BANCORP (1048773)","WAYNE, NJ","$16,028,703",2013-03-31
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE","$15,890,934",2013-03-31
"UMB FINANCIAL CORPORATION (1049828)","KANSAS CITY, MO","$15,705,470",2013-03-31
"FIRSTMERIT CORPORATION (1070804)","AKRON, OH","$15,273,159",2013-03-31
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX","$15,085,425",2013-03-31
"FRANKLIN RESOURCES, INC. (1246216)","SAN MATEO, CA","$14,710,099",2013-03-31
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR","$14,294,687",2013-03-31
"BANK OF HAWAII CORPORATION (1025309)","HONOLULU, HI","$13,563,474",2013-03-31
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS","$13,395,806",2013-03-31
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL","$13,372,230",2013-03-31
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA","$13,115,833",2013-03-31
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI","$13,094,150",2013-03-31
"FIRSTBANK HOLDING COMPANY (1060627)","LAKEWOOD, CO","$13,078,898",2013-03-31
"FIRST BANCORP (2744894)","SAN JUAN, PR","$13,005,877",2013-03-31
"IBERIABANK CORPORATION (2291914)","LAFAYETTE, LA","$12,951,199",2013-03-31
"INVESTORS BANCORP, MHC (2477754)","SHORT HILLS, NJ","$12,890,433",2013-03-31
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL","$12,745,930",2013-03-31
"MODERN WOODMEN OF AMERICA (3057395)","ROCK ISLAND, IL","$12,695,879",2013-03-31
"F.N.B. CORPORATION (3005332)","HERMITAGE, PA","$11,997,990",2013-03-31
"TRUSTMARK CORPORATION (1079562)","JACKSON, MS","$11,850,515",2013-03-31
"INTERNATIONAL BANCSHARES CORPORATION (1104231)","LAREDO, TX","$11,520,172",2013-03-31
"UMPQUA HOLDINGS CORPORATION (2747644)","PORTLAND, OR","$11,500,124",2013-03-31
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH","$11,121,723",2013-03-31
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO","$10,577,894",2013-03-31
"CATHAY GENERAL BANCORP (1843080)","LOS ANGELES, CA","$10,520,715",2013-03-31
"MIDLAND FINANCIAL CO. (2568278)","OKLAHOMA CITY, OK","$10,441,287",2013-03-31
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI","$10,298,569",2013-03-31
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX","$10,020,871",2013-03-31
