"Institution Name (RSSD ID)","Location","Total Assets 6","Date 6"
"BARCLAYS DELAWARE HOLDINGS LLC (2938451)","WILMINGTON, DE","$25,013,660",2014-12-31
"FIRSTMERIT CORPORATION (1070804)","AKRON, OH","$24,909,640",2014-12-31
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL","$24,253,246",2014-12-31
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO","$24,015,123",2014-12-31
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO","$23,978,600",2014-12-31
"UMPQUA HOLDINGS CORPORATION (2747644)","PORTLAND, OR","$22,622,204",2014-12-31
"WEBSTER FINANCIAL CORPORATION (1145476)","WATERBURY, CT","$22,545,351",2014-12-31
"MACY'S, INC. (4103310)","CINCINNATI, OH","$22,424,584",2014-12-31
"IMB HOLDCO LLC (3923614)","PASADENA, CA","$21,871,146",2014-12-31
"EVERBANK FINANCIAL CORP (3838857)","JACKSONVILLE, FL","$21,617,788",2014-12-31
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX","$21,519,443",2014-12-31
"HANCOCK HOLDING COMPANY (1086533)","GULFPORT, MS","$20,752,202",2014-12-31
"WINTRUST FINANCIAL CORPORATION (2260406)","ROSEMONT, IL","$20,032,438",2014-12-31
"TCF FINANCIAL CORPORATION (2389941)","WAYZATA, MN","$19,427,476",2014-12-31
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL","$19,210,520",2014-12-31
"VALLEY NATIONAL BANCORP (1048773)","WAYNE, NJ","$18,793,855",2014-12-31
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ","$18,722,282",2014-12-31
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA","$18,661,390",2014-12-31
"UMB FINANCIAL CORPORATION (1049828)","KANSAS CITY, MO","$17,500,960",2014-12-31
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE","$17,465,465",2014-12-31
"FULTON FINANCIAL CORPORATION (1117129)","LANCASTER, PA","$17,083,180",2014-12-31
"PACWEST BANCORP (2875332)","LOS ANGELES, CA","$16,236,505",2014-12-31
"F.N.B. CORPORATION (3005332)","PITTSBURGH, PA","$16,127,090",2014-12-31
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX","$15,900,308",2014-12-31
"IBERIABANK CORPORATION (2291914)","LAFAYETTE, LA","$15,758,605",2014-12-31
"ASTORIA FINANCIAL CORPORATION (2504128)","LAKE SUCCESS, NY","$15,640,021",2014-12-31
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL","$15,603,382",2014-12-31
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR","$14,970,127",2014-12-31
"BANK OF HAWAII CORPORATION (1025309)","HONOLULU, HI","$14,859,360",2014-12-31
"MB FINANCIAL, INC. (1090987)","CHICAGO, IL","$14,602,099",2014-12-31
"FIRSTBANK HOLDING COMPANY (1060627)","LAKEWOOD, CO","$14,542,268",2014-12-31
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA","$14,494,756",2014-12-31
"MODERN WOODMEN OF AMERICA (3057395)","ROCK ISLAND, IL","$14,131,105",2014-12-31
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS","$13,326,530",2014-12-31
"FIRST BANCORP (2744894)","SAN JUAN, PR","$12,727,835",2014-12-31
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV","$12,328,811",2014-12-31
"TRUSTMARK CORPORATION (1079562)","JACKSON, MS","$12,250,633",2014-12-31
"INTERNATIONAL BANCSHARES CORPORATION (1104231)","LAREDO, TX","$12,196,520",2014-12-31
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH","$12,067,800",2014-12-31
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY","$11,659,386",2014-12-31
"OLD NATIONAL BANCORP (1098303)","EVANSVILLE, IN","$11,647,778",2014-12-31
"CATHAY GENERAL BANCORP (1843080)","LOS ANGELES, CA","$11,516,846",2014-12-31
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI","$11,184,161",2014-12-31
"COUNTRY LIFE INSURANCE COMPANY (3825204)","BLOOMINGTON, IL","$10,697,206",2014-12-31
"NORDSTROM, INC. (1760589)","SEATTLE, WA","$10,616,919",2014-12-31
"WESTERN ALLIANCE BANCORPORATION (2349815)","PHOENIX, AZ","$10,600,498",2014-12-31
