"Institution Name (RSSD ID)","Location","Total Assets 6","Date 6"
"JPMORGAN CHASE & CO. (1039502)","NEW YORK, NY","$2,572,773,000",2014-12-31
"BANK OF AMERICA CORPORATION (1073757)","CHARLOTTE, NC","$2,106,796,000",2014-12-31
"CITIGROUP INC. (1951350)","NEW YORK, NY","$1,842,181,000",2014-12-31
"WELLS FARGO & COMPANY (1120754)","SAN FRANCISCO, CA","$1,687,155,000",2014-12-31
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$856,301,000",2014-12-31
"MORGAN STANLEY (2162966)","NEW YORK, NY","$801,510,000",2014-12-31
"GENERAL ELECTRIC CAPITAL CORPORATION (1631915)","NORWALK, CT","$508,255,287",2014-12-31
"U.S. BANCORP (1119794)","MINNEAPOLIS, MN","$402,529,000",2014-12-31
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$385,303,000",2014-12-31
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA","$345,243,081",2014-12-31
"CAPITAL ONE FINANCIAL CORPORATION (2277860)","MCLEAN, VA","$309,083,481",2014-12-31
"HSBC NORTH AMERICA HOLDINGS INC. (3232316)","NEW YORK, NY","$290,100,702",2014-12-31
"STATE STREET CORPORATION (1111435)","BOSTON, MA","$274,119,072",2014-12-31
"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170)","NEW YORK, NY","$262,634,190",2014-12-31
"TD BANK US HOLDING COMPANY (1249196)","CHERRY HILL, NJ","$248,144,842",2014-12-31
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$190,446,755",2014-12-31
"BB&T CORPORATION (1074156)","WINSTON SALEM, NC","$186,813,987",2014-12-31
"AMERICAN EXPRESS COMPANY (1275216)","NEW YORK, NY","$159,103,000",2014-12-31
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$154,642,000",2014-12-31
"ALLY FINANCIAL INC. (1562859)","DETROIT, MI","$151,828,000",2014-12-31
"STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207)","BLOOMINGTON, IL","$138,797,903",2014-12-31
"FIFTH THIRD BANCORP (1070345)","CINCINNATI, OH","$138,705,640",2014-12-31
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$133,000,128",2014-12-31
"UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376)","SAN ANTONIO, TX","$130,416,573",2014-12-31
"REGIONS FINANCIAL CORPORATION (3242838)","BIRMINGHAM, AL","$119,888,669",2014-12-31
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA","$118,353,279",2014-12-31
"BMO FINANCIAL CORP. (1245415)","WILMINGTON, DE","$115,879,565",2014-12-31
"MUFG AMERICAS HOLDINGS CORPORATION (1378434)","NEW YORK, NY","$113,678,090",2014-12-31
"NORTHERN TRUST CORPORATION (1199611)","CHICAGO, IL","$109,946,485",2014-12-31
"M&T BANK CORPORATION (1037003)","BUFFALO, NY","$96,687,224",2014-12-31
"KEYCORP (1068025)","CLEVELAND, OH","$93,882,115",2014-12-31
"BANCWEST CORPORATION (1025608)","HONOLULU, HI","$89,766,710",2014-12-31
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX","$83,152,427",2014-12-31
"DISCOVER FINANCIAL SERVICES (3846375)","RIVERWOODS, IL","$83,125,845",2014-12-31
"COMERICA INCORPORATED (1199844)","DALLAS, TX","$69,452,409",2014-12-31
"HUNTINGTON BANCSHARES INCORPORATED (1068191)","COLUMBUS, OH","$66,298,010",2014-12-31
"ZIONS BANCORPORATION (1027004)","SALT LAKE CITY, UT","$57,208,874",2014-12-31
"DEUTSCHE BANK TRUST CORPORATION (1032473)","NEW YORK, NY","$55,541,200",2014-12-31
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY","$48,559,217",2014-12-31
"CIT GROUP INC. (1036967)","LIVINGSTON, NJ","$47,879,974",2014-12-31
"E*TRADE FINANCIAL CORPORATION (3412583)","NEW YORK, NY","$45,529,729",2014-12-31
"SVB FINANCIAL GROUP (1031449)","SANTA CLARA, CA","$39,351,768",2014-12-31
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY","$38,557,544",2014-12-31
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ","$36,569,082",2014-12-31
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY","$36,331,380",2014-12-31
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT","$35,985,913",2014-12-31
"NATIONWIDE MUTUAL INSURANCE COMPANY (3828072)","COLUMBUS, OH","$34,711,195",2014-12-31
"MUTUAL OF OMAHA INSURANCE COMPANY (1583836)","OMAHA, NE","$34,481,170",2014-12-31
"JOHN DEERE CAPITAL CORPORATION (3843075)","RENO, NV","$33,736,295",2014-12-31
"POPULAR, INC. (1129382)","SAN JUAN, PR","$33,097,000",2014-12-31
"CITY NATIONAL CORPORATION (1027518)","LOS ANGELES, CA","$32,610,363",2014-12-31
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC","$30,075,113",2014-12-31
"BOK FINANCIAL CORPORATION (1883693)","TULSA, OK","$29,148,050",2014-12-31
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA","$28,738,323",2014-12-31
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX","$28,347,544",2014-12-31
"SYNOVUS FINANCIAL CORP. (1078846)","COLUMBUS, GA","$27,051,231",2014-12-31
"ASSOCIATED BANC-CORP (1199563)","GREEN BAY, WI","$26,821,774",2014-12-31
"FIRST HORIZON NATIONAL CORPORATION (1094640)","MEMPHIS, TN","$25,674,034",2014-12-31
