"Institution Name (RSSD ID)","Location","Total Assets 14","Date 14"
"UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376)","SAN ANTONIO, TX","$115,747,377",2012-12-31
"STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207)","BLOOMINGTON, IL","$114,933,159",2012-12-31
"NORTHERN TRUST CORPORATION (1199611)","CHICAGO, IL","$97,463,845",2012-12-31
"UNIONBANCAL CORPORATION (1378434)","SAN FRANCISCO, CA","$96,992,464",2012-12-31
"KEYCORP (1068025)","CLEVELAND, OH","$89,425,613",2012-12-31
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA","$85,790,202",2012-12-31
"M&T BANK CORPORATION (1037003)","BUFFALO, NY","$82,985,468",2012-12-31
"BANCWEST CORPORATION (1025608)","HONOLULU, HI","$79,869,488",2012-12-31
"THRIVENT FINANCIAL FOR LUTHERANS (3173736)","MINNEAPOLIS, MN","$77,444,933",2012-12-31
"DEUTSCHE BANK TRUST CORPORATION (1032473)","NEW YORK, NY","$74,148,000",2012-12-31
"DISCOVER FINANCIAL SERVICES (3846375)","RIVERWOODS, IL","$73,491,315",2012-12-31
"BBVA USA BANCSHARES, INC. (1078529)","HOUSTON, TX","$69,105,796",2012-12-31
"COMERICA INCORPORATED (1199844)","DALLAS, TX","$65,398,175",2012-12-31
"HUNTINGTON BANCSHARES INCORPORATED (1068191)","COLUMBUS, OH","$56,153,185",2012-12-31
"ZIONS BANCORPORATION (1027004)","SALT LAKE CITY, UT","$55,511,918",2012-12-31
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY","$48,642,000",2012-12-31
"E*TRADE FINANCIAL CORPORATION (3412583)","NEW YORK, NY","$47,386,739",2012-12-31
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY","$44,149,466",2012-12-31
"CIT GROUP INC. (1036967)","LIVINGSTON, NJ","$44,012,251",2012-12-31
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ","$40,596,341",2012-12-31
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY","$36,912,808",2012-12-31
"POPULAR, INC. (1129382)","SAN JUAN, PR","$36,508,000",2012-12-31
"MUTUAL OF OMAHA INSURANCE COMPANY (1583836)","OMAHA, NE","$30,993,057",2012-12-31
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT","$30,317,936",2012-12-31
"CITY NATIONAL CORPORATION (1027518)","LOS ANGELES, CA","$28,618,492",2012-12-31
"BOK FINANCIAL CORPORATION (1883693)","TULSA, OK","$28,146,503",2012-12-31
"JOHN DEERE CAPITAL CORPORATION (3843075)","RENO, NV","$27,844,699",2012-12-31
"SYNOVUS FINANCIAL CORP. (1078846)","COLUMBUS, GA","$26,760,012",2012-12-31
"IMB HOLDCO LLC (3923614)","PASADENA, CA","$25,938,843",2012-12-31
"FIRST HORIZON NATIONAL CORPORATION (1094640)","MEMPHIS, TN","$25,521,022",2012-12-31
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO","$25,125,736",2012-12-31
"ASSOCIATED BANC-CORP (1199563)","GREEN BAY, WI","$23,487,735",2012-12-31
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX","$23,205,702",2012-12-31
"SVB FINANCIAL GROUP (1031449)","SANTA CLARA, CA","$22,766,602",2012-12-31
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA","$22,536,282",2012-12-31
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL","$22,275,971",2012-12-31
"MACY'S, INC. (4103310)","CINCINNATI, OH","$22,270,036",2012-12-31
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO","$22,176,815",2012-12-31
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC","$21,283,651",2012-12-31
"W.R. BERKLEY CORPORATION (3065541)","GREENWICH, CT","$20,155,896",2012-12-31
"WEBSTER FINANCIAL CORPORATION (1145476)","WATERBURY, CT","$20,152,255",2012-12-31
"HANCOCK HOLDING COMPANY (1086533)","GULFPORT, MS","$19,523,765",2012-12-31
"BARCLAYS DELAWARE HOLDINGS LLC (2938451)","WILMINGTON, DE","$18,981,340",2012-12-31
"AMERITAS MUTUAL HOLDING COMPANY (3910641)","LINCOLN, NE","$18,502,196",2012-12-31
"TCF FINANCIAL CORPORATION (2389941)","WAYZATA, MN","$18,281,032",2012-12-31
"EVERBANK FINANCIAL CORP (3838857)","JACKSONVILLE, FL","$18,242,878",2012-12-31
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA","$18,037,667",2012-12-31
"WINTRUST FINANCIAL CORPORATION (2260406)","ROSEMONT, IL","$17,519,613",2012-12-31
"FULTON FINANCIAL CORPORATION (1117129)","LANCASTER, PA","$16,509,261",2012-12-31
"ASTORIA FINANCIAL CORPORATION (2504128)","LAKE SUCCESS, NY","$16,496,642",2012-12-31
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE","$16,409,360",2012-12-31
"VALLEY NATIONAL BANCORP (1048773)","WAYNE, NJ","$16,012,646",2012-12-31
"UMB FINANCIAL CORPORATION (1049828)","KANSAS CITY, MO","$14,927,196",2012-12-31
"FIRSTMERIT CORPORATION (1070804)","AKRON, OH","$14,916,022",2012-12-31
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX","$14,601,394",2012-12-31
"FRANKLIN RESOURCES, INC. (1246216)","SAN MATEO, CA","$14,261,070",2012-12-31
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI","$14,082,012",2012-12-31
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL","$14,057,515",2012-12-31
"BANK OF HAWAII CORPORATION (1025309)","HONOLULU, HI","$13,789,923",2012-12-31
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS","$13,401,898",2012-12-31
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR","$13,233,050",2012-12-31
"IBERIABANK CORPORATION (2291914)","LAFAYETTE, LA","$13,129,678",2012-12-31
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA","$13,106,842",2012-12-31
"FIRST BANCORP (2744894)","SAN JUAN, PR","$13,099,741",2012-12-31
"FIRSTBANK HOLDING COMPANY (1060627)","LAKEWOOD, CO","$12,874,974",2012-12-31
"INVESTORS BANCORP, MHC (2477754)","SHORT HILLS, NJ","$12,765,099",2012-12-31
"MODERN WOODMEN OF AMERICA (3057395)","ROCK ISLAND, IL","$12,385,909",2012-12-31
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL","$12,375,953",2012-12-31
"F.N.B. CORPORATION (3005332)","HERMITAGE, PA","$12,023,976",2012-12-31
"INTERNATIONAL BANCSHARES CORPORATION (1104231)","LAREDO, TX","$11,882,673",2012-12-31
"UMPQUA HOLDINGS CORPORATION (2747644)","PORTLAND, OR","$11,804,699",2012-12-31
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH","$11,379,590",2012-12-31
"CATHAY GENERAL BANCORP (1843080)","LOS ANGELES, CA","$10,694,089",2012-12-31
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX","$10,540,873",2012-12-31
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI","$10,149,132",2012-12-31
