"Institution Name (RSSD ID)","Location","Total Assets 14","Date 14"
"JPMORGAN CHASE & CO. (1039502)","NEW YORK, NY","$2,359,141,000",2012-12-31
"BANK OF AMERICA CORPORATION (1073757)","CHARLOTTE, NC","$2,212,004,452",2012-12-31
"CITIGROUP INC. (1951350)","NEW YORK, NY","$1,864,660,000",2012-12-31
"WELLS FARGO & COMPANY (1120754)","SAN FRANCISCO, CA","$1,422,968,000",2012-12-31
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$938,770,000",2012-12-31
"MORGAN STANLEY (2162966)","NEW YORK, NY","$780,960,000",2012-12-31
"GENERAL ELECTRIC CAPITAL CORPORATION (1631915)","NORWALK, CT","$548,771,829",2012-12-31
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$359,301,000",2012-12-31
"U.S. BANCORP (1119794)","MINNEAPOLIS, MN","$353,855,000",2012-12-31
"HSBC NORTH AMERICA HOLDINGS INC. (3232316)","NEW YORK, NY","$313,680,754",2012-12-31
"CAPITAL ONE FINANCIAL CORPORATION (2277860)","MCLEAN, VA","$313,040,688",2012-12-31
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA","$305,285,879",2012-12-31
"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170)","NEW YORK, NY","$237,037,712",2012-12-31
"STATE STREET CORPORATION (1111435)","BOSTON, MA","$222,229,483",2012-12-31
"TD BANK US HOLDING COMPANY (1249196)","PORTLAND, ME","$218,916,640",2012-12-31
"BB&T CORPORATION (1074156)","WINSTON SALEM, NC","$183,872,371",2012-12-31
"ALLY FINANCIAL INC. (1562859)","DETROIT, MI","$182,347,000",2012-12-31
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$173,566,088",2012-12-31
"NATIONWIDE MUTUAL INSURANCE COMPANY (3828072)","COLUMBUS, OH","$168,343,642",2012-12-31
"PRINCIPAL FINANCIAL GROUP, INC. (3853449)","DES MOINES, IA","$161,926,542",2012-12-31
"AMERICAN EXPRESS COMPANY (1275216)","NEW YORK, NY","$153,418,000",2012-12-31
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$133,637,000",2012-12-31
"RBS CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$127,411,731",2012-12-31
"FIFTH THIRD BANCORP (1070345)","CINCINNATI, OH","$121,500,604",2012-12-31
"REGIONS FINANCIAL CORPORATION (3242838)","BIRMINGHAM, AL","$121,347,388",2012-12-31
"BMO FINANCIAL CORP. (1245415)","WILMINGTON, DE","$116,109,476",2012-12-31
