"Institution Name (RSSD ID)","Location","Total Assets 0","Date 0"
"JPMORGAN CHASE & CO. (1039502)","NEW YORK, NY","$2,466,096,000",2016-06-30
"BANK OF AMERICA CORPORATION (1073757)","CHARLOTTE, NC","$2,189,811,000",2016-06-30
"WELLS FARGO & COMPANY (1120754)","SAN FRANCISCO, CA","$1,889,235,000",2016-06-30
"CITIGROUP INC. (1951350)","NEW YORK, NY","$1,818,771,000",2016-06-30
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$896,870,000",2016-06-30
"MORGAN STANLEY (2162966)","NEW YORK, NY","$828,873,000",2016-06-30
"U.S. BANCORP (1119794)","MINNEAPOLIS, MN","$438,463,000",2016-06-30
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$372,351,000",2016-06-30
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA","$361,528,406",2016-06-30
"CAPITAL ONE FINANCIAL CORPORATION (2277860)","MCLEAN, VA","$339,247,718",2016-06-30
"HSBC NORTH AMERICA HOLDINGS INC. (3232316)","NEW YORK, NY","$295,534,689",2016-06-30
"TD GROUP US HOLDINGS LLC (3606542)","WILMINGTON, DE","$276,317,370",2016-06-30
"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170)","NEW YORK, NY","$276,045,408",2016-06-30
"STATE STREET CORPORATION (1111435)","BOSTON, MA","$255,396,733",2016-06-30
"BB&T CORPORATION (1074156)","WINSTON SALEM, NC","$221,858,615",2016-06-30
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$199,276,480",2016-06-30
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$198,052,000",2016-06-30
"AMERICAN EXPRESS COMPANY (1275216)","NEW YORK, NY","$159,632,000",2016-06-30
"ALLY FINANCIAL INC. (1562859)","DETROIT, MI","$157,931,000",2016-06-30
"RBC USA HOLDCO CORPORATION (3226762)","NEW YORK, NY","$151,710,605",2016-06-30
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$145,568,297",2016-06-30
"UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376)","SAN ANTONIO, TX","$144,819,412",2016-06-30
"STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207)","BLOOMINGTON, IL","$143,801,553",2016-06-30
"FIFTH THIRD BANCORP (1070345)","CINCINNATI, OH","$143,625,325",2016-06-30
"BMO FINANCIAL CORP. (1245415)","WILMINGTON, DE","$132,007,952",2016-06-30
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA","$126,502,203",2016-06-30
"REGIONS FINANCIAL CORPORATION (3242838)","BIRMINGHAM, AL","$126,378,482",2016-06-30
"M&T BANK CORPORATION (1037003)","BUFFALO, NY","$123,820,584",2016-06-30
"NORTHERN TRUST CORPORATION (1199611)","CHICAGO, IL","$121,509,559",2016-06-30
"MUFG AMERICAS HOLDINGS CORPORATION (1378434)","NEW YORK, NY","$117,205,079",2016-06-30
"KEYCORP (1068025)","CLEVELAND, OH","$101,406,977",2016-06-30
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX","$91,753,156",2016-06-30
"DISCOVER FINANCIAL SERVICES (3846375)","RIVERWOODS, IL","$87,511,328",2016-06-30
"SYNCHRONY FINANCIAL (4504654)","STAMFORD, CT","$82,384,173",2016-06-30
"BANCWEST HOLDING INC. (4989420)","SAN FRANCISCO, CA","$80,624,408",2016-06-30
"HUNTINGTON BANCSHARES INCORPORATED (1068191)","COLUMBUS, OH","$73,954,016",2016-06-30
"COMERICA INCORPORATED (1199844)","DALLAS, TX","$71,440,155",2016-06-30
"CIT GROUP INC. (1036967)","LIVINGSTON, NJ","$66,783,624",2016-06-30
"ZIONS BANCORPORATION (1027004)","SALT LAKE CITY, UT","$59,642,992",2016-06-30
"DEUTSCHE BANK TRUST CORPORATION (1032473)","NEW YORK, NY","$54,629,000",2016-06-30
"E*TRADE FINANCIAL CORPORATION (3412583)","NEW YORK, NY","$49,202,038",2016-06-30
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY","$49,035,747",2016-06-30
"SVB FINANCIAL GROUP (1031449)","SANTA CLARA, CA","$43,147,945",2016-06-30
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT","$40,120,118",2016-06-30
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY","$39,998,293",2016-06-30
"MUTUAL OF OMAHA INSURANCE COMPANY (1583836)","OMAHA, NE","$38,009,856",2016-06-30
"POPULAR, INC. (1129382)","SAN JUAN, PR","$37,606,000",2016-06-30
"NATIONWIDE MUTUAL INSURANCE COMPANY (3828072)","COLUMBUS, OH","$36,667,697",2016-06-30
"JOHN DEERE CAPITAL CORPORATION (3843075)","RENO, NV","$35,453,189",2016-06-30
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA","$32,952,138",2016-06-30
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC","$32,230,403",2016-06-30
"BOK FINANCIAL CORPORATION (1883693)","TULSA, OK","$32,050,291",2016-06-30
"BARCLAYS DELAWARE HOLDINGS LLC (2938451)","WILMINGTON, DE","$29,672,671",2016-06-30
"SYNOVUS FINANCIAL CORP. (1078846)","COLUMBUS, GA","$29,459,691",2016-06-30
"ASSOCIATED BANC-CORP (1199563)","GREEN BAY, WI","$29,038,699",2016-06-30
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX","$29,014,585",2016-06-30
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL","$28,841,247",2016-06-30
"FIRST HORIZON NATIONAL CORPORATION (1094640)","MEMPHIS, TN","$27,541,899",2016-06-30
"EVERBANK FINANCIAL CORP (3838857)","JACKSONVILLE, FL","$27,354,310",2016-06-30
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL","$26,309,192",2016-06-30
"FIRSTMERIT CORPORATION (1070804)","AKRON, OH","$26,153,691",2016-06-30
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY","$25,363,698",2016-06-30
"WEBSTER FINANCIAL CORPORATION (1145476)","WATERBURY, CT","$25,131,298",2016-06-30
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO","$24,726,507",2016-06-30
"WINTRUST FINANCIAL CORPORATION (2260406)","ROSEMONT, IL","$24,427,295",2016-06-30
"UMPQUA HOLDINGS CORPORATION (2747644)","PORTLAND, OR","$24,132,600",2016-06-30
"HANCOCK HOLDING COMPANY (1086533)","GULFPORT, MS","$23,071,656",2016-06-30
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO","$22,466,924",2016-06-30
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX","$21,880,979",2016-06-30
"VALLEY NATIONAL BANCORP (1048773)","WAYNE, NJ","$21,809,738",2016-06-30
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ","$21,733,831",2016-06-30
"F.N.B. CORPORATION (3005332)","PITTSBURGH, PA","$21,214,967",2016-06-30
"PACWEST BANCORP (2875332)","BEVERLY HILLS, CA","$21,147,143",2016-06-30
