"Institution Name (RSSD ID)","Location","Total Assets 0","Date 0"
"TCF FINANCIAL CORPORATION (2389941)","WAYZATA, MN","$21,081,736",2016-06-30
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX","$21,081,024",2016-06-30
"MACY'S, INC. (4103310)","CINCINNATI, OH","$20,197,613",2016-06-30
"IBERIABANK CORPORATION (2291914)","LAFAYETTE, LA","$20,160,855",2016-06-30
"UMB FINANCIAL CORPORATION (1049828)","KANSAS CITY, MO","$19,734,076",2016-06-30
"FIRST HAWAIIAN, INC. (1025608)","HONOLULU, HI","$19,052,593",2016-06-30
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE","$18,783,090",2016-06-30
"FULTON FINANCIAL CORPORATION (1117129)","LANCASTER, PA","$18,433,910",2016-06-30
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL","$18,169,191",2016-06-30
"WESTERN ALLIANCE BANCORPORATION (2349815)","PHOENIX, AZ","$16,728,767",2016-06-30
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR","$16,634,738",2016-06-30
"FIRSTBANK HOLDING COMPANY (1060627)","LAKEWOOD, CO","$16,235,257",2016-06-30
"MB FINANCIAL, INC. (1090987)","CHICAGO, IL","$15,995,790",2016-06-30
"BANK OF HAWAII CORPORATION (1025309)","HONOLULU, HI","$15,916,031",2016-06-30
"STIFEL FINANCIAL CORP. (3063622)","SAINT LOUIS, MO","$15,248,777",2016-06-30
"MODERN WOODMEN OF AMERICA (3057395)","ROCK ISLAND, IL","$15,097,370",2016-06-30
"ASTORIA FINANCIAL CORPORATION (2504128)","LAKE SUCCESS, NY","$15,017,071",2016-06-30
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA","$14,821,600",2016-06-30
"OLD NATIONAL BANCORP (1098303)","EVANSVILLE, IN","$14,420,599",2016-06-30
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV","$14,338,012",2016-06-30
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS","$14,130,157",2016-06-30
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI","$13,723,711",2016-06-30
"CATHAY GENERAL BANCORP (1843080)","LOS ANGELES, CA","$13,493,177",2016-06-30
"STERLING BANCORP (3083291)","MONTEBELLO, NY","$13,089,172",2016-06-30
"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX","$13,077,902",2016-06-30
"TRUSTMARK CORPORATION (1079562)","JACKSON, MS","$13,030,349",2016-06-30
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY","$12,884,030",2016-06-30
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH","$12,624,307",2016-06-30
"FIRST BANCORP (2744894)","SAN JUAN, PR","$12,508,702",2016-06-30
"MIDLAND FINANCIAL CO. (2568278)","OKLAHOMA CITY, OK","$12,301,042",2016-06-30
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO","$12,292,830",2016-06-30
"BANK OF THE OZARKS INC (1097089)","LITTLE ROCK, AR","$12,279,579",2016-06-30
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI","$11,979,239",2016-06-30
"INTERNATIONAL BANCSHARES CORPORATION (1104231)","LAREDO, TX","$11,776,640",2016-06-30
"GREAT WESTERN BANCORP, INC. (4809920)","SIOUX FALLS, SD","$11,453,222",2016-06-30
"BREMER FINANCIAL CORPORATION (1020180)","SAINT PAUL, MN","$11,340,612",2016-06-30
"FIRST MIDWEST BANCORP, INC. (1208184)","ITASCA, IL","$10,995,810",2016-06-30
"COUNTRY LIFE INSURANCE COMPANY (3825204)","BLOOMINGTON, IL","$10,264,654",2016-06-30
"BANC OF CALIFORNIA, INC. (3153130)","IRVINE, CA","$10,157,662",2016-06-30
"EASTERN BANK CORPORATION (1427239)","BOSTON, MA","$10,025,463",2016-06-30
