"Institution Name (RSSD ID)","Location","Total Assets 8","Date 8"
"JPMORGAN CHASE & CO. (1039502)","NEW YORK, NY","$2,519,995,000",2014-06-30
"BANK OF AMERICA CORPORATION (1073757)","CHARLOTTE, NC","$2,172,001,000",2014-06-30
"CITIGROUP INC. (1951350)","NEW YORK, NY","$1,909,369,000",2014-06-30
"WELLS FARGO & COMPANY (1120754)","SAN FRANCISCO, CA","$1,598,874,000",2014-06-30
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$860,008,000",2014-06-30
"MORGAN STANLEY (2162966)","NEW YORK, NY","$826,524,000",2014-06-30
"GENERAL ELECTRIC CAPITAL CORPORATION (1631915)","NORWALK, CT","$516,270,747",2014-06-30
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$400,740,000",2014-06-30
"U.S. BANCORP (1119794)","MINNEAPOLIS, MN","$389,065,000",2014-06-30
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA","$327,251,474",2014-06-30
"CAPITAL ONE FINANCIAL CORPORATION (2277860)","MCLEAN, VA","$298,653,928",2014-06-30
"HSBC NORTH AMERICA HOLDINGS INC. (3232316)","NEW YORK, NY","$289,551,194",2014-06-30
"STATE STREET CORPORATION (1111435)","BOSTON, MA","$282,324,972",2014-06-30
"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170)","NEW YORK, NY","$256,932,841",2014-06-30
"TD BANK US HOLDING COMPANY (1249196)","CHERRY HILL, NJ","$236,008,197",2014-06-30
"BB&T CORPORATION (1074156)","WINSTON SALEM, NC","$188,012,330",2014-06-30
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$182,585,899",2014-06-30
"AMERICAN EXPRESS COMPANY (1275216)","NEW YORK, NY","$152,384,000",2014-06-30
"ALLY FINANCIAL INC. (1562859)","DETROIT, MI","$149,937,000",2014-06-30
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$143,401,000",2014-06-30
"STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207)","BLOOMINGTON, IL","$135,478,405",2014-06-30
"FIFTH THIRD BANCORP (1070345)","CINCINNATI, OH","$132,562,382",2014-06-30
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$130,579,630",2014-06-30
"UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376)","SAN ANTONIO, TX","$129,066,684",2014-06-30
"REGIONS FINANCIAL CORPORATION (3242838)","BIRMINGHAM, AL","$119,013,705",2014-06-30
"BMO FINANCIAL CORP. (1245415)","WILMINGTON, DE","$116,160,559",2014-06-30
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA","$112,512,985",2014-06-30
"UNIONBANCAL CORPORATION (1378434)","SAN FRANCISCO, CA","$108,823,027",2014-06-30
"NORTHERN TRUST CORPORATION (1199611)","CHICAGO, IL","$105,761,163",2014-06-30
"KEYCORP (1068025)","CLEVELAND, OH","$91,934,784",2014-06-30
"M&T BANK CORPORATION (1037003)","BUFFALO, NY","$90,835,002",2014-06-30
"BANCWEST CORPORATION (1025608)","HONOLULU, HI","$86,617,152",2014-06-30
"DISCOVER FINANCIAL SERVICES (3846375)","RIVERWOODS, IL","$78,936,814",2014-06-30
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX","$75,747,100",2014-06-30
"DEUTSCHE BANK TRUST CORPORATION (1032473)","NEW YORK, NY","$69,406,000",2014-06-30
"COMERICA INCORPORATED (1199844)","DALLAS, TX","$65,386,081",2014-06-30
"HUNTINGTON BANCSHARES INCORPORATED (1068191)","COLUMBUS, OH","$63,797,113",2014-06-30
"ZIONS BANCORPORATION (1027004)","SALT LAKE CITY, UT","$55,111,275",2014-06-30
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY","$48,604,772",2014-06-30
"E*TRADE FINANCIAL CORPORATION (3412583)","NEW YORK, NY","$45,748,395",2014-06-30
"CIT GROUP INC. (1036967)","LIVINGSTON, NJ","$44,152,666",2014-06-30
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY","$38,632,971",2014-06-30
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ","$37,700,645",2014-06-30
"POPULAR, INC. (1129382)","SAN JUAN, PR","$36,588,000",2014-06-30
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY","$36,486,505",2014-06-30
"JOHN DEERE CAPITAL CORPORATION (3843075)","RENO, NV","$34,923,883",2014-06-30
"MUTUAL OF OMAHA INSURANCE COMPANY (1583836)","OMAHA, NE","$34,182,325",2014-06-30
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT","$33,889,076",2014-06-30
"NATIONWIDE MUTUAL INSURANCE COMPANY (3828072)","COLUMBUS, OH","$33,615,965",2014-06-30
"SVB FINANCIAL GROUP (1031449)","SANTA CLARA, CA","$33,322,533",2014-06-30
"CITY NATIONAL CORPORATION (1027518)","LOS ANGELES, CA","$30,819,092",2014-06-30
"BOK FINANCIAL CORPORATION (1883693)","TULSA, OK","$27,853,768",2014-06-30
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA","$27,556,917",2014-06-30
"SYNOVUS FINANCIAL CORP. (1078846)","COLUMBUS, GA","$26,627,290",2014-06-30
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX","$26,584,688",2014-06-30
"ASSOCIATED BANC-CORP (1199563)","GREEN BAY, WI","$25,727,786",2014-06-30
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO","$25,710,230",2014-06-30
"FIRSTMERIT CORPORATION (1070804)","AKRON, OH","$24,566,414",2014-06-30
"FIRST HORIZON NATIONAL CORPORATION (1094640)","MEMPHIS, TN","$24,223,920",2014-06-30
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL","$23,070,287",2014-06-30
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO","$23,016,162",2014-06-30
"IMB HOLDCO LLC (3923614)","PASADENA, CA","$22,566,793",2014-06-30
"BARCLAYS DELAWARE HOLDINGS LLC (2938451)","WILMINGTON, DE","$22,123,208",2014-06-30
"UMPQUA HOLDINGS CORPORATION (2747644)","PORTLAND, OR","$22,066,064",2014-06-30
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC","$22,062,840",2014-06-30
"WEBSTER FINANCIAL CORPORATION (1145476)","WATERBURY, CT","$21,531,479",2014-06-30
"MACY'S, INC. (4103310)","CINCINNATI, OH","$21,317,986",2014-06-30
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX","$21,253,920",2014-06-30
"EVERBANK FINANCIAL CORP (3838857)","JACKSONVILLE, FL","$19,753,820",2014-06-30
"HANCOCK HOLDING COMPANY (1086533)","GULFPORT, MS","$19,355,777",2014-06-30
"WINTRUST FINANCIAL CORPORATION (2260406)","ROSEMONT, IL","$18,911,548",2014-06-30
"TCF FINANCIAL CORPORATION (2389941)","WAYZATA, MN","$18,889,866",2014-06-30
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA","$18,506,626",2014-06-30
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ","$17,389,665",2014-06-30
"FULTON FINANCIAL CORPORATION (1117129)","LANCASTER, PA","$17,010,044",2014-06-30
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL","$17,008,323",2014-06-30
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE","$16,754,901",2014-06-30
"FRANKLIN RESOURCES, INC. (1246216)","SAN MATEO, CA","$16,563,673",2014-06-30
"VALLEY NATIONAL BANCORP (1048773)","WAYNE, NJ","$16,335,967",2014-06-30
"ASTORIA FINANCIAL CORPORATION (2504128)","LAKE SUCCESS, NY","$15,742,065",2014-06-30
"PACWEST BANCORP (2875332)","LOS ANGELES, CA","$15,685,562",2014-06-30
"UMB FINANCIAL CORPORATION (1049828)","KANSAS CITY, MO","$15,562,690",2014-06-30
"IBERIABANK CORPORATION (2291914)","LAFAYETTE, LA","$15,325,042",2014-06-30
"F.N.B. CORPORATION (3005332)","HERMITAGE, PA","$15,019,247",2014-06-30
"BANK OF HAWAII CORPORATION (1025309)","HONOLULU, HI","$14,884,625",2014-06-30
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA","$14,789,955",2014-06-30
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR","$14,730,285",2014-06-30
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL","$14,602,404",2014-06-30
"FIRSTBANK HOLDING COMPANY (1060627)","LAKEWOOD, CO","$13,941,733",2014-06-30
"MODERN WOODMEN OF AMERICA (3057395)","ROCK ISLAND, IL","$13,827,163",2014-06-30
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX","$13,532,830",2014-06-30
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS","$12,989,487",2014-06-30
"FIRST BANCORP (2744894)","SAN JUAN, PR","$12,523,251",2014-06-30
"INTERNATIONAL BANCSHARES CORPORATION (1104231)","LAREDO, TX","$12,436,467",2014-06-30
"TRUSTMARK CORPORATION (1079562)","JACKSON, MS","$12,119,996",2014-06-30
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV","$12,051,710",2014-06-30
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH","$11,715,978",2014-06-30
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY","$11,581,188",2014-06-30
"CATHAY GENERAL BANCORP (1843080)","LOS ANGELES, CA","$11,556,822",2014-06-30
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO","$10,848,073",2014-06-30
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI","$10,617,143",2014-06-30
"COUNTRY LIFE INSURANCE COMPANY (3825204)","BLOOMINGTON, IL","$10,519,027",2014-06-30
"OLD NATIONAL BANCORP (1098303)","EVANSVILLE, IN","$10,387,956",2014-06-30
"WESTERN ALLIANCE BANCORPORATION (2349815)","PHOENIX, AZ","$10,023,587",2014-06-30
