"Institution Name (RSSD ID)","Location","Total Assets 7","Date 7"
"UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376)","SAN ANTONIO, TX","$129,191,103",2014-09-30
"BMO FINANCIAL CORP. (1245415)","WILMINGTON, DE","$119,791,374",2014-09-30
"REGIONS FINANCIAL CORPORATION (3242838)","BIRMINGHAM, AL","$119,301,813",2014-09-30
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA","$113,538,172",2014-09-30
"NORTHERN TRUST CORPORATION (1199611)","CHICAGO, IL","$111,153,721",2014-09-30
"MUFG AMERICAS HOLDINGS CORPORATION (1378434)","NEW YORK, NY","$110,882,044",2014-09-30
"M&T BANK CORPORATION (1037003)","BUFFALO, NY","$97,230,366",2014-09-30
"KEYCORP (1068025)","CLEVELAND, OH","$89,884,477",2014-09-30
"BANCWEST CORPORATION (1025608)","HONOLULU, HI","$86,894,858",2014-09-30
"DISCOVER FINANCIAL SERVICES (3846375)","RIVERWOODS, IL","$80,596,481",2014-09-30
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX","$79,187,065",2014-09-30
"COMERICA INCORPORATED (1199844)","DALLAS, TX","$68,949,210",2014-09-30
"HUNTINGTON BANCSHARES INCORPORATED (1068191)","COLUMBUS, OH","$64,330,629",2014-09-30
"DEUTSCHE BANK TRUST CORPORATION (1032473)","NEW YORK, NY","$60,715,000",2014-09-30
"ZIONS BANCORPORATION (1027004)","SALT LAKE CITY, UT","$55,458,870",2014-09-30
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY","$48,679,772",2014-09-30
"CIT GROUP INC. (1036967)","LIVINGSTON, NJ","$46,480,980",2014-09-30
"E*TRADE FINANCIAL CORPORATION (3412583)","NEW YORK, NY","$45,818,844",2014-09-30
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY","$37,977,082",2014-09-30
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY","$37,231,381",2014-09-30
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ","$37,161,125",2014-09-30
"SVB FINANCIAL GROUP (1031449)","SANTA CLARA, CA","$36,044,135",2014-09-30
"JOHN DEERE CAPITAL CORPORATION (3843075)","RENO, NV","$35,316,750",2014-09-30
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT","$34,764,455",2014-09-30
"MUTUAL OF OMAHA INSURANCE COMPANY (1583836)","OMAHA, NE","$34,377,381",2014-09-30
"POPULAR, INC. (1129382)","SAN JUAN, PR","$34,099,000",2014-09-30
"NATIONWIDE MUTUAL INSURANCE COMPANY (3828072)","COLUMBUS, OH","$33,915,903",2014-09-30
"CITY NATIONAL CORPORATION (1027518)","LOS ANGELES, CA","$32,015,600",2014-09-30
"BOK FINANCIAL CORPORATION (1883693)","TULSA, OK","$29,103,689",2014-09-30
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA","$28,481,156",2014-09-30
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX","$27,411,142",2014-09-30
"SYNOVUS FINANCIAL CORP. (1078846)","COLUMBUS, GA","$26,519,110",2014-09-30
"ASSOCIATED BANC-CORP (1199563)","GREEN BAY, WI","$25,653,822",2014-09-30
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO","$25,260,266",2014-09-30
"FIRSTMERIT CORPORATION (1070804)","AKRON, OH","$24,610,114",2014-09-30
"BARCLAYS DELAWARE HOLDINGS LLC (2938451)","WILMINGTON, DE","$24,158,229",2014-09-30
"FIRST HORIZON NATIONAL CORPORATION (1094640)","MEMPHIS, TN","$23,987,518",2014-09-30
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL","$23,325,652",2014-09-30
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO","$22,710,961",2014-09-30
"UMPQUA HOLDINGS CORPORATION (2747644)","PORTLAND, OR","$22,493,824",2014-09-30
"IMB HOLDCO LLC (3923614)","PASADENA, CA","$22,011,643",2014-09-30
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC","$21,942,491",2014-09-30
"WEBSTER FINANCIAL CORPORATION (1145476)","WATERBURY, CT","$21,841,501",2014-09-30
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX","$21,125,064",2014-09-30
"MACY'S, INC. (4103310)","CINCINNATI, OH","$20,619,281",2014-09-30
"EVERBANK FINANCIAL CORP (3838857)","JACKSONVILLE, FL","$20,510,343",2014-09-30
"HANCOCK HOLDING COMPANY (1086533)","GULFPORT, MS","$19,996,647",2014-09-30
"WINTRUST FINANCIAL CORPORATION (2260406)","ROSEMONT, IL","$19,184,183",2014-09-30
"TCF FINANCIAL CORPORATION (2389941)","WAYZATA, MN","$19,052,948",2014-09-30
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA","$18,583,327",2014-09-30
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ","$17,781,789",2014-09-30
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL","$17,680,739",2014-09-30
"FULTON FINANCIAL CORPORATION (1117129)","LANCASTER, PA","$17,209,511",2014-09-30
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE","$17,082,710",2014-09-30
"VALLEY NATIONAL BANCORP (1048773)","WAYNE, NJ","$16,726,410",2014-09-30
"UMB FINANCIAL CORPORATION (1049828)","KANSAS CITY, MO","$16,284,028",2014-09-30
"PACWEST BANCORP (2875332)","LOS ANGELES, CA","$15,939,057",2014-09-30
"F.N.B. CORPORATION (3005332)","PITTSBURGH, PA","$15,757,045",2014-09-30
"IBERIABANK CORPORATION (2291914)","LAFAYETTE, LA","$15,516,609",2014-09-30
"ASTORIA FINANCIAL CORPORATION (2504128)","LAKE SUCCESS, NY","$15,460,281",2014-09-30
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL","$15,190,468",2014-09-30
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR","$14,969,471",2014-09-30
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA","$14,756,041",2014-09-30
"BANK OF HAWAII CORPORATION (1025309)","HONOLULU, HI","$14,577,913",2014-09-30
"MB FINANCIAL, INC. (1090987)","CHICAGO, IL","$14,506,043",2014-09-30
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX","$14,266,857",2014-09-30
"FIRSTBANK HOLDING COMPANY (1060627)","LAKEWOOD, CO","$14,052,107",2014-09-30
"MODERN WOODMEN OF AMERICA (3057395)","ROCK ISLAND, IL","$13,999,399",2014-09-30
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS","$13,074,902",2014-09-30
"FIRST BANCORP (2744894)","SAN JUAN, PR","$12,643,280",2014-09-30
"TRUSTMARK CORPORATION (1079562)","JACKSON, MS","$12,096,316",2014-09-30
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV","$12,085,063",2014-09-30
"INTERNATIONAL BANCSHARES CORPORATION (1104231)","LAREDO, TX","$12,079,187",2014-09-30
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH","$11,803,153",2014-09-30
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY","$11,688,202",2014-09-30
"CATHAY GENERAL BANCORP (1843080)","LOS ANGELES, CA","$11,599,466",2014-09-30
"OLD NATIONAL BANCORP (1098303)","EVANSVILLE, IN","$11,179,846",2014-09-30
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO","$10,967,840",2014-09-30
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI","$10,670,471",2014-09-30
"COUNTRY LIFE INSURANCE COMPANY (3825204)","BLOOMINGTON, IL","$10,573,699",2014-09-30
"WESTERN ALLIANCE BANCORPORATION (2349815)","PHOENIX, AZ","$10,288,824",2014-09-30
"NORDSTROM, INC. (1760589)","SEATTLE, WA","$10,144,127",2014-09-30
