"Institution Name (RSSD ID)","Location","Total Assets 7","Date 7"
"JPMORGAN CHASE & CO. (1039502)","NEW YORK, NY","$2,526,655,000",2014-09-30
"BANK OF AMERICA CORPORATION (1073757)","CHARLOTTE, NC","$2,126,138,000",2014-09-30
"CITIGROUP INC. (1951350)","NEW YORK, NY","$1,882,505,000",2014-09-30
"WELLS FARGO & COMPANY (1120754)","SAN FRANCISCO, CA","$1,636,855,000",2014-09-30
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$868,995,000",2014-09-30
"MORGAN STANLEY (2162966)","NEW YORK, NY","$814,511,000",2014-09-30
"GENERAL ELECTRIC CAPITAL CORPORATION (1631915)","NORWALK, CT","$514,312,251",2014-09-30
"U.S. BANCORP (1119794)","MINNEAPOLIS, MN","$391,284,000",2014-09-30
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$386,296,000",2014-09-30
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA","$334,602,342",2014-09-30
"CAPITAL ONE FINANCIAL CORPORATION (2277860)","MCLEAN, VA","$300,444,020",2014-09-30
"HSBC NORTH AMERICA HOLDINGS INC. (3232316)","NEW YORK, NY","$280,272,469",2014-09-30
"STATE STREET CORPORATION (1111435)","BOSTON, MA","$274,815,393",2014-09-30
"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170)","NEW YORK, NY","$261,389,220",2014-09-30
"TD BANK US HOLDING COMPANY (1249196)","CHERRY HILL, NJ","$242,225,156",2014-09-30
"BB&T CORPORATION (1074156)","WINSTON SALEM, NC","$187,021,509",2014-09-30
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$186,860,815",2014-09-30
"AMERICAN EXPRESS COMPANY (1275216)","NEW YORK, NY","$153,862,000",2014-09-30
"ALLY FINANCIAL INC. (1562859)","DETROIT, MI","$149,195,000",2014-09-30
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$147,445,000",2014-09-30
"STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207)","BLOOMINGTON, IL","$137,646,089",2014-09-30
"FIFTH THIRD BANCORP (1070345)","CINCINNATI, OH","$134,187,722",2014-09-30
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$131,520,691",2014-09-30
