"Institution Name (RSSD ID)","Location","Total Assets 10","Date 10"
"JPMORGAN CHASE & CO. (1039502)","NEW YORK, NY","$2,415,689,000",2013-12-31
"BANK OF AMERICA CORPORATION (1073757)","CHARLOTTE, NC","$2,104,995,000",2013-12-31
"CITIGROUP INC. (1951350)","NEW YORK, NY","$1,880,035,000",2013-12-31
"WELLS FARGO & COMPANY (1120754)","SAN FRANCISCO, CA","$1,527,015,000",2013-12-31
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$911,595,000",2013-12-31
"MORGAN STANLEY (2162966)","NEW YORK, NY","$832,666,000",2013-12-31
"AMERICAN INTERNATIONAL GROUP, INC. (1562176)","NEW YORK, NY","$541,329,000",2013-12-31
"GENERAL ELECTRIC CAPITAL CORPORATION (1631915)","NORWALK, CT","$524,005,141",2013-12-31
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$374,310,000",2013-12-31
"U.S. BANCORP (1119794)","MINNEAPOLIS, MN","$364,021,000",2013-12-31
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA","$320,596,232",2013-12-31
"CAPITAL ONE FINANCIAL CORPORATION (2277860)","MCLEAN, VA","$297,282,098",2013-12-31
"HSBC NORTH AMERICA HOLDINGS INC. (3232316)","NEW YORK, NY","$290,013,881",2013-12-31
"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170)","NEW YORK, NY","$250,494,214",2013-12-31
"STATE STREET CORPORATION (1111435)","BOSTON, MA","$243,028,090",2013-12-31
"TD BANK US HOLDING COMPANY (1249196)","CHERRY HILL, NJ","$234,621,843",2013-12-31
"BB&T CORPORATION (1074156)","WINSTON SALEM, NC","$183,009,992",2013-12-31
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$175,380,779",2013-12-31
"AMERICAN EXPRESS COMPANY (1275216)","NEW YORK, NY","$153,387,000",2013-12-31
"ALLY FINANCIAL INC. (1562859)","DETROIT, MI","$151,167,000",2013-12-31
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$143,642,000",2013-12-31
"FIFTH THIRD BANCORP (1070345)","CINCINNATI, OH","$129,685,180",2013-12-31
"STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207)","BLOOMINGTON, IL","$129,337,906",2013-12-31
"UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376)","SAN ANTONIO, TX","$122,342,355",2013-12-31
"RBS CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$122,257,732",2013-12-31
"REGIONS FINANCIAL CORPORATION (3242838)","BIRMINGHAM, AL","$117,661,732",2013-12-31
"BMO FINANCIAL CORP. (1245415)","WILMINGTON, DE","$111,073,727",2013-12-31
"UNIONBANCAL CORPORATION (1378434)","SAN FRANCISCO, CA","$105,900,020",2013-12-31
"NORTHERN TRUST CORPORATION (1199611)","CHICAGO, IL","$102,947,333",2013-12-31
"KEYCORP (1068025)","CLEVELAND, OH","$92,991,716",2013-12-31
"M&T BANK CORPORATION (1037003)","BUFFALO, NY","$85,162,391",2013-12-31
"BANCWEST CORPORATION (1025608)","HONOLULU, HI","$83,527,474",2013-12-31
"DISCOVER FINANCIAL SERVICES (3846375)","RIVERWOODS, IL","$79,339,664",2013-12-31
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA","$77,144,021",2013-12-31
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX","$71,965,476",2013-12-31
"DEUTSCHE BANK TRUST CORPORATION (1032473)","NEW YORK, NY","$66,926,000",2013-12-31
"COMERICA INCORPORATED (1199844)","DALLAS, TX","$65,356,580",2013-12-31
"HUNTINGTON BANCSHARES INCORPORATED (1068191)","COLUMBUS, OH","$59,476,344",2013-12-31
"ZIONS BANCORPORATION (1027004)","SALT LAKE CITY, UT","$56,031,127",2013-12-31
"CIT GROUP INC. (1036967)","LIVINGSTON, NJ","$47,138,960",2013-12-31
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY","$46,688,287",2013-12-31
"E*TRADE FINANCIAL CORPORATION (3412583)","NEW YORK, NY","$46,279,856",2013-12-31
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY","$46,112,745",2013-12-31
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ","$38,607,354",2013-12-31
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY","$37,643,867",2013-12-31
