"Institution Name (RSSD ID)","Location","Total Assets 9","Date 9"
"JPMORGAN CHASE & CO. (1039502)","NEW YORK, NY","$2,476,650,000",2014-03-31
"BANK OF AMERICA CORPORATION (1073757)","CHARLOTTE, NC","$2,152,533,000",2014-03-31
"CITIGROUP INC. (1951350)","NEW YORK, NY","$1,894,390,000",2014-03-31
"WELLS FARGO & COMPANY (1120754)","SAN FRANCISCO, CA","$1,546,707,000",2014-03-31
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$915,705,000",2014-03-31
"MORGAN STANLEY (2162966)","NEW YORK, NY","$831,338,000",2014-03-31
"AMERICAN INTERNATIONAL GROUP, INC. (1562176)","NEW YORK, NY","$547,111,000",2014-03-31
"GENERAL ELECTRIC CAPITAL CORPORATION (1631915)","NORWALK, CT","$516,913,616",2014-03-31
"U.S. BANCORP (1119794)","MINNEAPOLIS, MN","$371,289,000",2014-03-31
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$368,241,000",2014-03-31
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA","$323,586,973",2014-03-31
"HSBC NORTH AMERICA HOLDINGS INC. (3232316)","NEW YORK, NY","$308,847,926",2014-03-31
"CAPITAL ONE FINANCIAL CORPORATION (2277860)","MCLEAN, VA","$290,886,180",2014-03-31
"STATE STREET CORPORATION (1111435)","BOSTON, MA","$256,672,720",2014-03-31
"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170)","NEW YORK, NY","$252,936,464",2014-03-31
"TD BANK US HOLDING COMPANY (1249196)","CHERRY HILL, NJ","$237,493,754",2014-03-31
"BB&T CORPORATION (1074156)","WINSTON SALEM, NC","$184,651,158",2014-03-31
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$179,553,408",2014-03-31
"AMERICAN EXPRESS COMPANY (1275216)","NEW YORK, NY","$151,497,000",2014-03-31
"ALLY FINANCIAL INC. (1562859)","DETROIT, MI","$148,452,000",2014-03-31
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$144,066,000",2014-03-31
"STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207)","BLOOMINGTON, IL","$132,022,280",2014-03-31
"FIFTH THIRD BANCORP (1070345)","CINCINNATI, OH","$129,654,487",2014-03-31
"UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376)","SAN ANTONIO, TX","$127,322,366",2014-03-31
"RBS CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$127,295,624",2014-03-31
"REGIONS FINANCIAL CORPORATION (3242838)","BIRMINGHAM, AL","$118,136,516",2014-03-31
"BMO FINANCIAL CORP. (1245415)","WILMINGTON, DE","$114,499,474",2014-03-31
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA","$109,168,077",2014-03-31
"UNIONBANCAL CORPORATION (1378434)","SAN FRANCISCO, CA","$107,237,659",2014-03-31
"NORTHERN TRUST CORPORATION (1199611)","CHICAGO, IL","$103,832,578",2014-03-31
"KEYCORP (1068025)","CLEVELAND, OH","$90,928,218",2014-03-31
"M&T BANK CORPORATION (1037003)","BUFFALO, NY","$88,530,360",2014-03-31
"BANCWEST CORPORATION (1025608)","HONOLULU, HI","$84,945,155",2014-03-31
"DISCOVER FINANCIAL SERVICES (3846375)","RIVERWOODS, IL","$79,583,709",2014-03-31
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX","$74,957,227",2014-03-31
"DEUTSCHE BANK TRUST CORPORATION (1032473)","NEW YORK, NY","$72,603,000",2014-03-31
"COMERICA INCORPORATED (1199844)","DALLAS, TX","$65,832,917",2014-03-31
"HUNTINGTON BANCSHARES INCORPORATED (1068191)","COLUMBUS, OH","$61,145,753",2014-03-31
"ZIONS BANCORPORATION (1027004)","SALT LAKE CITY, UT","$56,080,844",2014-03-31
"CIT GROUP INC. (1036967)","LIVINGSTON, NJ","$48,578,081",2014-03-31
