"Institution Name (RSSD ID)","Location","Total Assets 12","Date 12"
"JPMORGAN CHASE & CO. (1039502)","NEW YORK, NY","$2,439,494,000",2013-06-30
"BANK OF AMERICA CORPORATION (1073757)","CHARLOTTE, NC","$2,125,686,000",2013-06-30
"CITIGROUP INC. (1951350)","NEW YORK, NY","$1,883,988,000",2013-06-30
"WELLS FARGO & COMPANY (1120754)","SAN FRANCISCO, CA","$1,440,563,000",2013-06-30
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$938,611,000",2013-06-30
"MORGAN STANLEY (2162966)","NEW YORK, NY","$802,691,000",2013-06-30
"AMERICAN INTERNATIONAL GROUP, INC. (1562176)","NEW YORK, NY","$537,438,000",2013-06-30
"GENERAL ELECTRIC CAPITAL CORPORATION (1631915)","NORWALK, CT","$529,030,139",2013-06-30
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$360,514,000",2013-06-30
"U.S. BANCORP (1119794)","MINNEAPOLIS, MN","$353,415,000",2013-06-30
"HSBC NORTH AMERICA HOLDINGS INC. (3232316)","NEW YORK, NY","$319,108,739",2013-06-30
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA","$304,547,667",2013-06-30
"CAPITAL ONE FINANCIAL CORPORATION (2277860)","MCLEAN, VA","$296,670,314",2013-06-30
"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170)","NEW YORK, NY","$243,168,123",2013-06-30
"TD BANK US HOLDING COMPANY (1249196)","PORTLAND, ME","$228,945,721",2013-06-30
"STATE STREET CORPORATION (1111435)","BOSTON, MA","$226,985,363",2013-06-30
"PRINCIPAL FINANCIAL GROUP, INC. (3853449)","DES MOINES, IA","$196,512,705",2013-06-30
"BB&T CORPORATION (1074156)","WINSTON SALEM, NC","$182,735,153",2013-06-30
"NATIONWIDE MUTUAL INSURANCE COMPANY (3828072)","COLUMBUS, OH","$172,019,212",2013-06-30
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$171,609,928",2013-06-30
"AMERICAN EXPRESS COMPANY (1275216)","NEW YORK, NY","$151,980,000",2013-06-30
"ALLY FINANCIAL INC. (1562859)","DETROIT, MI","$150,627,000",2013-06-30
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$135,907,000",2013-06-30
