"Institution Name (RSSD ID)","Location","Total Assets 12","Date 12"
"FIFTH THIRD BANCORP (1070345)","CINCINNATI, OH","$122,642,935",2013-06-30
"UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376)","SAN ANTONIO, TX","$120,296,114",2013-06-30
"STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207)","BLOOMINGTON, IL","$119,778,457",2013-06-30
"REGIONS FINANCIAL CORPORATION (3242838)","BIRMINGHAM, AL","$118,782,563",2013-06-30
"RBS CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$118,137,679",2013-06-30
"BMO FINANCIAL CORP. (1245415)","WILMINGTON, DE","$112,349,784",2013-06-30
"UNIONBANCAL CORPORATION (1378434)","SAN FRANCISCO, CA","$102,261,564",2013-06-30
"NORTHERN TRUST CORPORATION (1199611)","CHICAGO, IL","$97,236,008",2013-06-30
"KEYCORP (1068025)","CLEVELAND, OH","$90,858,779",2013-06-30
"M&T BANK CORPORATION (1037003)","BUFFALO, NY","$83,229,005",2013-06-30
"BANCWEST CORPORATION (1025608)","HONOLULU, HI","$80,069,917",2013-06-30
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA","$79,218,184",2013-06-30
"THRIVENT FINANCIAL FOR LUTHERANS (3173736)","MINNEAPOLIS, MN","$78,901,854",2013-06-30
"DISCOVER FINANCIAL SERVICES (3846375)","RIVERWOODS, IL","$74,944,466",2013-06-30
"DEUTSCHE BANK TRUST CORPORATION (1032473)","NEW YORK, NY","$71,992,000",2013-06-30
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX","$69,674,976",2013-06-30
"COMERICA INCORPORATED (1199844)","DALLAS, TX","$63,013,097",2013-06-30
"HUNTINGTON BANCSHARES INCORPORATED (1068191)","COLUMBUS, OH","$56,113,687",2013-06-30
"ZIONS BANCORPORATION (1027004)","SALT LAKE CITY, UT","$54,904,540",2013-06-30
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY","$48,612,915",2013-06-30
"E*TRADE FINANCIAL CORPORATION (3412583)","NEW YORK, NY","$45,006,525",2013-06-30
"CIT GROUP INC. (1036967)","LIVINGSTON, NJ","$44,631,022",2013-06-30
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY","$44,185,838",2013-06-30
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ","$39,696,453",2013-06-30
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY","$37,171,775",2013-06-30
"POPULAR, INC. (1129382)","SAN JUAN, PR","$36,685,000",2013-06-30
"MUTUAL OF OMAHA INSURANCE COMPANY (1583836)","OMAHA, NE","$31,386,118",2013-06-30
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT","$31,317,391",2013-06-30
"JOHN DEERE CAPITAL CORPORATION (3843075)","RENO, NV","$30,737,599",2013-06-30
"BOK FINANCIAL CORPORATION (1883693)","TULSA, OK","$27,806,179",2013-06-30
"CITY NATIONAL CORPORATION (1027518)","LOS ANGELES, CA","$27,379,501",2013-06-30
"SYNOVUS FINANCIAL CORP. (1078846)","COLUMBUS, GA","$26,563,174",2013-06-30
"IMB HOLDCO LLC (3923614)","PASADENA, CA","$25,468,760",2013-06-30
"FIRST HORIZON NATIONAL CORPORATION (1094640)","MEMPHIS, TN","$25,134,331",2013-06-30
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO","$24,571,720",2013-06-30
"ASSOCIATED BANC-CORP (1199563)","GREEN BAY, WI","$23,616,944",2013-06-30
"FIRSTMERIT CORPORATION (1070804)","AKRON, OH","$23,534,261",2013-06-30
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA","$23,314,135",2013-06-30
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX","$22,596,340",2013-06-30
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL","$22,214,191",2013-06-30
"SVB FINANCIAL GROUP (1031449)","SANTA CLARA, CA","$22,165,054",2013-06-30
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO","$21,921,322",2013-06-30
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC","$21,308,822",2013-06-30
"MACY'S, INC. (4103310)","CINCINNATI, OH","$21,039,759",2013-06-30
"WEBSTER FINANCIAL CORPORATION (1145476)","WATERBURY, CT","$20,334,463",2013-06-30
"BARCLAYS DELAWARE HOLDINGS LLC (2938451)","WILMINGTON, DE","$20,307,832",2013-06-30
"HANCOCK HOLDING COMPANY (1086533)","GULFPORT, MS","$18,954,524",2013-06-30
"AMERITAS MUTUAL HOLDING COMPANY (3910641)","LINCOLN, NE","$18,554,575",2013-06-30
"TCF FINANCIAL CORPORATION (2389941)","WAYZATA, MN","$18,432,662",2013-06-30
"EVERBANK FINANCIAL CORP (3838857)","JACKSONVILLE, FL","$18,362,872",2013-06-30
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA","$18,083,039",2013-06-30
"WINTRUST FINANCIAL CORPORATION (2260406)","ROSEMONT, IL","$17,613,546",2013-06-30
"FULTON FINANCIAL CORPORATION (1117129)","LANCASTER, PA","$17,001,720",2013-06-30
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX","$16,275,854",2013-06-30
"ASTORIA FINANCIAL CORPORATION (2504128)","LAKE SUCCESS, NY","$16,101,065",2013-06-30
"VALLEY NATIONAL BANCORP (1048773)","WAYNE, NJ","$15,977,202",2013-06-30
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE","$15,466,494",2013-06-30
"UMB FINANCIAL CORPORATION (1049828)","KANSAS CITY, MO","$15,253,217",2013-06-30
"FRANKLIN RESOURCES, INC. (1246216)","SAN MATEO, CA","$15,214,337",2013-06-30
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR","$14,160,917",2013-06-30
"BANK OF HAWAII CORPORATION (1025309)","HONOLULU, HI","$13,787,068",2013-06-30
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL","$13,476,493",2013-06-30
"INVESTORS BANCORP, MHC (2477754)","SHORT HILLS, NJ","$13,314,260",2013-06-30
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL","$13,233,425",2013-06-30
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS","$13,220,451",2013-06-30
"FIRSTBANK HOLDING COMPANY (1060627)","LAKEWOOD, CO","$13,022,264",2013-06-30
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA","$13,012,483",2013-06-30
"MODERN WOODMEN OF AMERICA (3057395)","ROCK ISLAND, IL","$12,950,314",2013-06-30
"IBERIABANK CORPORATION (2291914)","LAFAYETTE, LA","$12,823,503",2013-06-30
"FIRST BANCORP (2744894)","SAN JUAN, PR","$12,803,169",2013-06-30
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI","$12,735,017",2013-06-30
"F.N.B. CORPORATION (3005332)","HERMITAGE, PA","$12,573,391",2013-06-30
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY","$11,991,050",2013-06-30
"TRUSTMARK CORPORATION (1079562)","JACKSON, MS","$11,863,312",2013-06-30
"INTERNATIONAL BANCSHARES CORPORATION (1104231)","LAREDO, TX","$11,596,913",2013-06-30
"UMPQUA HOLDINGS CORPORATION (2747644)","PORTLAND, OR","$11,396,288",2013-06-30
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH","$11,136,501",2013-06-30
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX","$10,978,295",2013-06-30
"CATHAY GENERAL BANCORP (1843080)","LOS ANGELES, CA","$10,603,235",2013-06-30
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO","$10,481,397",2013-06-30
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI","$10,238,145",2013-06-30
