"Institution Name (RSSD ID)","Location","Total Assets 4","Date 4"
"ASSOCIATED BANC-CORP (1199563)","GREEN BAY, WI","$27,185,145",2015-06-30
"BARCLAYS DELAWARE HOLDINGS LLC (2938451)","WILMINGTON, DE","$26,353,405",2015-06-30
"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY","$25,928,156",2015-06-30
"FIRSTMERIT CORPORATION (1070804)","AKRON, OH","$25,301,876",2015-06-30
"FIRST HORIZON NATIONAL CORPORATION (1094640)","MEMPHIS, TN","$25,241,144",2015-06-30
"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL","$24,805,596",2015-06-30
"EVERBANK FINANCIAL CORP (3838857)","JACKSONVILLE, FL","$24,120,491",2015-06-30
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO","$23,721,613",2015-06-30
"WEBSTER FINANCIAL CORPORATION (1145476)","WATERBURY, CT","$23,644,664",2015-06-30
"UMPQUA HOLDINGS CORPORATION (2747644)","PORTLAND, OR","$22,805,994",2015-06-30
"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO","$22,597,143",2015-06-30
"IMB HOLDCO LLC (3923614)","PASADENA, CA","$21,707,102",2015-06-30
"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX","$21,687,419",2015-06-30
"HANCOCK HOLDING COMPANY (1086533)","GULFPORT, MS","$21,550,936",2015-06-30
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL","$21,401,793",2015-06-30
"MACY'S, INC. (4103310)","CINCINNATI, OH","$21,175,196",2015-06-30
"WINTRUST FINANCIAL CORPORATION (2260406)","ROSEMONT, IL","$20,816,905",2015-06-30
"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ","$19,954,834",2015-06-30
"TCF FINANCIAL CORPORATION (2389941)","WAYZATA, MN","$19,851,826",2015-06-30
"VALLEY NATIONAL BANCORP (1048773)","WAYNE, NJ","$19,290,005",2015-06-30
"IBERIABANK CORPORATION (2291914)","LAFAYETTE, LA","$19,238,928",2015-06-30
"SUSQUEHANNA BANCSHARES, INC. (1117156)","LITITZ, PA","$18,659,693",2015-06-30
"UMB FINANCIAL CORPORATION (1049828)","KANSAS CITY, MO","$18,418,727",2015-06-30
"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX","$17,817,384",2015-06-30
"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE","$17,624,149",2015-06-30
"FULTON FINANCIAL CORPORATION (1117129)","LANCASTER, PA","$17,322,400",2015-06-30
"PACWEST BANCORP (2875332)","LOS ANGELES, CA","$16,699,159",2015-06-30
"F.N.B. CORPORATION (3005332)","PITTSBURGH, PA","$16,598,601",2015-06-30
"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL","$16,225,895",2015-06-30
"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR","$15,429,891",2015-06-30
"BANK OF HAWAII CORPORATION (1025309)","HONOLULU, HI","$15,336,181",2015-06-30
"ASTORIA FINANCIAL CORPORATION (2504128)","LAKE SUCCESS, NY","$15,295,356",2015-06-30
"FIRSTBANK HOLDING COMPANY (1060627)","LAKEWOOD, CO","$15,172,163",2015-06-30
"MB FINANCIAL, INC. (1090987)","CHICAGO, IL","$15,018,194",2015-06-30
"MODERN WOODMEN OF AMERICA (3057395)","ROCK ISLAND, IL","$14,581,780",2015-06-30
"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA","$14,370,496",2015-06-30
"BANCORPSOUTH, INC. (1097614)","TUPELO, MS","$13,636,675",2015-06-30
"WESTERN ALLIANCE BANCORPORATION (2349815)","PHOENIX, AZ","$13,470,104",2015-06-30
"FIRST BANCORP (2744894)","SAN JUAN, PR","$12,578,813",2015-06-30
"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX","$12,477,198",2015-06-30
"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV","$12,414,566",2015-06-30
"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH","$12,259,463",2015-06-30
"TRUSTMARK CORPORATION (1079562)","JACKSON, MS","$12,182,448",2015-06-30
"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI","$12,139,403",2015-06-30
"OLD NATIONAL BANCORP (1098303)","EVANSVILLE, IN","$12,075,892",2015-06-30
"INTERNATIONAL BANCSHARES CORPORATION (1104231)","LAREDO, TX","$12,074,129",2015-06-30
"CATHAY GENERAL BANCORP (1843080)","LOS ANGELES, CA","$11,918,316",2015-06-30
"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY","$11,775,081",2015-06-30
"MIDLAND FINANCIAL CO. (2568278)","OKLAHOMA CITY, OK","$11,682,787",2015-06-30
"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO","$11,674,358",2015-06-30
"STERLING BANCORP (3083291)","MONTEBELLO, NY","$11,568,014",2015-06-30
"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI","$11,439,631",2015-06-30
"NORDSTROM, INC. (1760589)","SEATTLE, WA","$11,051,860",2015-06-30
"COUNTRY LIFE INSURANCE COMPANY (3825204)","BLOOMINGTON, IL","$10,887,809",2015-06-30
"NATIONAL AMERICAS HOLDINGS LLC (3719965)","NEW YORK, NY","$10,220,212",2015-06-30
"STIFEL FINANCIAL CORP. (3063622)","SAINT LOUIS, MO","$10,139,542",2015-06-30
"BREMER FINANCIAL CORPORATION (1020180)","SAINT PAUL, MN","$10,063,759",2015-06-30
