"Institution Name (RSSD ID)","Location","Total Assets 4","Date 4"
"JPMORGAN CHASE & CO. (1039502)","NEW YORK, NY","$2,447,994,000",2015-06-30
"BANK OF AMERICA CORPORATION (1073757)","CHARLOTTE, NC","$2,152,082,000",2015-06-30
"CITIGROUP INC. (1951350)","NEW YORK, NY","$1,829,370,000",2015-06-30
"WELLS FARGO & COMPANY (1120754)","SAN FRANCISCO, CA","$1,720,617,000",2015-06-30
"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$859,932,000",2015-06-30
"MORGAN STANLEY (2162966)","NEW YORK, NY","$825,755,000",2015-06-30
"GENERAL ELECTRIC CAPITAL CORPORATION (1631915)","NORWALK, CT","$466,871,489",2015-06-30
"U.S. BANCORP (1119794)","MINNEAPOLIS, MN","$419,075,000",2015-06-30
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$395,254,000",2015-06-30
"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA","$354,201,925",2015-06-30
"CAPITAL ONE FINANCIAL CORPORATION (2277860)","MCLEAN, VA","$310,636,497",2015-06-30
"STATE STREET CORPORATION (1111435)","BOSTON, MA","$294,570,652",2015-06-30
"HSBC NORTH AMERICA HOLDINGS INC. (3232316)","NEW YORK, NY","$277,249,331",2015-06-30
"TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170)","NEW YORK, NY","$266,931,428",2015-06-30
"TD BANK US HOLDING COMPANY (1249196)","CHERRY HILL, NJ","$253,195,880",2015-06-30
"BB&T CORPORATION (1074156)","WINSTON SALEM, NC","$191,017,482",2015-06-30
"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$189,107,850",2015-06-30
"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$163,627,000",2015-06-30
"AMERICAN EXPRESS COMPANY (1275216)","NEW YORK, NY","$157,141,000",2015-06-30
"ALLY FINANCIAL INC. (1562859)","DETROIT, MI","$156,472,000",2015-06-30
"FIFTH THIRD BANCORP (1070345)","CINCINNATI, OH","$141,658,130",2015-06-30
"STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207)","BLOOMINGTON, IL","$139,365,889",2015-06-30
"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$137,564,322",2015-06-30
"UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376)","SAN ANTONIO, TX","$134,222,822",2015-06-30
"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA","$126,316,164",2015-06-30
"REGIONS FINANCIAL CORPORATION (3242838)","BIRMINGHAM, AL","$121,967,042",2015-06-30
"NORTHERN TRUST CORPORATION (1199611)","CHICAGO, IL","$119,942,945",2015-06-30
"BMO FINANCIAL CORP. (1245415)","WILMINGTON, DE","$118,131,486",2015-06-30
"MUFG AMERICAS HOLDINGS CORPORATION (1378434)","NEW YORK, NY","$114,265,672",2015-06-30
"M&T BANK CORPORATION (1037003)","BUFFALO, NY","$97,080,076",2015-06-30
"KEYCORP (1068025)","CLEVELAND, OH","$94,674,550",2015-06-30
"BANCWEST CORPORATION (1025608)","HONOLULU, HI","$91,200,312",2015-06-30
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX","$88,470,749",2015-06-30
"DISCOVER FINANCIAL SERVICES (3846375)","RIVERWOODS, IL","$84,911,199",2015-06-30
"COMERICA INCORPORATED (1199844)","DALLAS, TX","$70,053,205",2015-06-30
"HUNTINGTON BANCSHARES INCORPORATED (1068191)","COLUMBUS, OH","$68,845,648",2015-06-30
"ZIONS BANCORPORATION (1027004)","SALT LAKE CITY, UT","$58,365,459",2015-06-30
"DEUTSCHE BANK TRUST CORPORATION (1032473)","NEW YORK, NY","$58,202,000",2015-06-30
"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY","$48,648,532",2015-06-30
"E*TRADE FINANCIAL CORPORATION (3412583)","NEW YORK, NY","$47,117,894",2015-06-30
"CIT GROUP INC. (1036967)","LIVINGSTON, NJ","$46,657,160",2015-06-30
"SVB FINANCIAL GROUP (1031449)","SANTA CLARA, CA","$40,244,261",2015-06-30
"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY","$39,069,002",2015-06-30
"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT","$37,154,644",2015-06-30
"POPULAR, INC. (1129382)","SAN JUAN, PR","$36,750,000",2015-06-30
"NATIONWIDE MUTUAL INSURANCE COMPANY (3828072)","COLUMBUS, OH","$35,438,759",2015-06-30
"HUDSON CITY BANCORP, INC. (2367556)","PARAMUS, NJ","$35,417,458",2015-06-30
"JOHN DEERE CAPITAL CORPORATION (3843075)","RENO, NV","$35,216,517",2015-06-30
"MUTUAL OF OMAHA INSURANCE COMPANY (1583836)","OMAHA, NE","$35,183,677",2015-06-30
"CITY NATIONAL CORPORATION (1027518)","LOS ANGELES, CA","$33,760,498",2015-06-30
"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC","$30,896,855",2015-06-30
"BOK FINANCIAL CORPORATION (1883693)","TULSA, OK","$30,846,158",2015-06-30
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA","$30,064,322",2015-06-30
"SYNOVUS FINANCIAL CORP. (1078846)","COLUMBUS, GA","$28,205,870",2015-06-30
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX","$27,802,644",2015-06-30
