NAME,ID_RSSD,RISKM350(2012),RISKM350(2013),RISKM350(2014),change(2012-2013),change(2013-2014),RISKM362(2012),RISKM362(2013),RISKM362(2014),RISKM370(2012),RISKM370(2013),RISKM370(2014),RISKM376(2012),RISKM376(2013),RISKM376(2014),RISKM390(2012),RISKM390(2013),RISKM390(2014),RISKM405(2012),RISKM405(2013),RISKM405(2014),RISKM408(2012),RISKM408(2013),RISKM408(2014),RISKM411(2012),RISKM411(2013),RISKM411(2014),RISKN255(2013),RISKN255(2014),RISKG506(2012),RISKG506(2013),RISKG506(2014),RISKM422(2012),RISKM422(2013),RISKM422(2014),RISKM426(2012),RISKM426(2013),RISKM426(2014)
JPMORGAN CHASE & CO.                                                                                                    ,1039502,3494373100,3569551800,3743113000,2.15%,4.86%,516334000,421963000,461425000,551400000,544258000,570830000,547772000,598997000,641607000,3.32E+11,3.21E+11,3.23E+11,16514235000,21320085000,21097734000,518348000,507734000,490698000,65547647000,68003662000,65268349000,446323000,323285000,99148000,69310000,50457000,749535000,692557000,616296000,670852000,673734000,625601000
BANK OF AMERICA CORPORATION                                                                                             ,1073757,2777980794,2695636963,2810245959,-2.96%,4.25%,350803072,293938659,305364434,251635813,219926538,227579653,476435663,488785261,499710859,69124181012,83704983990,93184380421,117686000,136190000,139555000,276917400,390267400,445911470,59144337304,54887232052,52034159510,203137926,229594570,36586973,31779000,22265000,512449000,387493000,350009000,234613000,245722000,278666000
STATE STREET CORPORATION                                                                                                ,1111435,265741905,345428170,292211655,29.99%,-15.41%,21606697,30393031,38366181,185648900,209263087,214038869,44228629,42822162,60107009,58627542828,59122189977,71014770241,17806141900,20411068000,21656000000,0,0,0,911846317,1141088650,1239187564,53759419,33982640,6979705,7563618,5446184,50554327,47446989,74588706,107123000,124911000,138801000
WELLS FARGO & COMPANY                                                                                                   ,1120754,1813355400,1961304700,2191752300,8.16%,11.75%,123122000,110263000,167007000,82582000,128896000,170841000,374696000,507718000,590283000,31756516000,28761213000,34295107000,2200000000,2400000000,2500000000,85611000,85947000,167681000,3836339000,4879596000,5643148000,127761000,135221000,51879000,37171000,32324000,59238000,70104000,100542000,107944000,130239000,147496000
MORGAN STANLEY                                                                                                          ,2162966,1068551000,1282726862,1281234664,20.04%,-0.12%,523543000,535021798,221710377,214741000,182491089,118359866,226556000,231405818,246186644,12464002000,9811965074,11640647738,154615000,1369185923,1573836522,290236000,261804800,331344000,44278852000,43610512376,34515890480,316368655,286974813,27371000,23281000,22137000,469260000,353380000,350157000,411396000,470008000,298181193
"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,1337411700,1517513700,1484013000,13.47%,-2.21%,323120000,336644000,326951000,128579000,106942000,113405000,321501000,310141000,328277000,12965823000,9584773000,11306295000,0,865755000,1013139000,293000000,371000000,346000000,41151555000,50355240000,53478619000,138305000,148746000,50675000,43003000,44666000,366197000,346666000,333240000,234431000,319418000,289812000
"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,680253000,409666200,418631800,-39.78%,2.19%,84470000,79313000,59446000,203596000,229805000,248552000,48262000,61106000,66878000,1.46E+11,1.66E+11,2.19E+11,22471935000,23590412000,24632807000,5339000,5840000,4904000,1109777000,1157850000,1186938000,38944000,25031000,315000,139000,90000,97688000,86775000,94164000,150023000,164125000,173677000
