"Institution Name (RSSD ID)","Location","Total Assets 0","Date 0","Total Assets 1","Date 1","Total Assets 2","Date 2","Total Assets 3","Date 3","Total Assets 4","Date 4","Total Assets 5","Date 5","Total Assets 6","Date 6","Total Assets 7","Date 7","Total Assets 8","Date 8","Total Assets 9","Date 9","Total Assets 10","Date 10","Total Assets 11","Date 11","Total Assets 12","Date 12","Total Assets 13","Date 13","Total Assets 14","Date 14"
"BANK OF HAWAII CORPORATION (1025309)","HONOLULU, HI","$15,916,031",2016-06-30,"$15,705,449",2016-03-31,"$15,501,362",2015-12-31,"$15,228,349",2015-09-30,"$15,336,181",2015-06-30,"$15,206,800",2015-03-31,"$14,859,360",2014-12-31,"$14,577,913",2014-09-30,"$14,884,625",2014-06-30,"$14,333,411",2014-03-31,"$14,127,598",2013-12-31,"$13,916,694",2013-09-30,"$13,787,068",2013-06-30,"$13,563,474",2013-03-31,"$13,789,923",2012-12-31
"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$372,351,000",2016-06-30,"$372,870,000",2016-03-31,"$393,780,000",2015-12-31,"$377,371,000",2015-09-30,"$395,254,000",2015-06-30,"$392,337,000",2015-03-31,"$385,303,000",2014-12-31,"$386,296,000",2014-09-30,"$400,740,000",2014-06-30,"$368,241,000",2014-03-31,"$374,310,000",2013-12-31,"$371,957,000",2013-09-30,"$360,514,000",2013-06-30,"$355,984,000",2013-03-31,"$359,301,000",2012-12-31
"BANK OF THE OZARKS INC (1097089)","LITTLE ROCK, AR","$12,279,579",2016-06-30,"$11,427,419",2016-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL","$26,309,192",2016-06-30,"$24,819,488",2016-03-31,"$23,883,467",2015-12-31,"$22,537,671",2015-09-30,"$21,401,793",2015-06-30,"$19,983,395",2015-03-31,"$19,210,520",2014-12-31,"$17,680,739",2014-09-30,"$17,008,323",2014-06-30,"$15,751,652",2014-03-31,"$15,046,649",2013-12-31,"$14,308,014",2013-09-30,"$13,233,425",2013-06-30,"$12,745,930",2013-03-31,"$12,375,953",2012-12-31
"BARCLAYS DELAWARE HOLDINGS LLC (2938451)","WILMINGTON, DE","$29,672,671",2016-06-30,"$29,374,606",2016-03-31,"$27,998,160",2015-12-31,"$26,620,161",2015-09-30,"$26,353,405",2015-06-30,"$25,221,666",2015-03-31,"$25,013,660",2014-12-31,"$24,158,229",2014-09-30,"$22,123,208",2014-06-30,"$20,089,504",2014-03-31,"$19,056,120",2013-12-31,"$21,025,405",2013-09-30,"$20,307,832",2013-06-30,"$19,610,828",2013-03-31,"$18,981,340",2012-12-31
"BB&T CORPORATION (1074156)","WINSTON SALEM, NC","$221,858,615",2016-06-30,"$212,405,266",2016-03-31,"$209,947,022",2015-12-31,"$208,808,671",2015-09-30,"$191,017,482",2015-06-30,"$189,227,838",2015-03-31,"$186,813,987",2014-12-31,"$187,021,509",2014-09-30,"$188,012,330",2014-06-30,"$184,651,158",2014-03-31,"$183,009,992",2013-12-31,"$181,050,008",2013-09-30,"$182,735,153",2013-06-30,"$180,836,757",2013-03-31,"$183,872,371",2012-12-31
"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX","$91,753,156",2016-06-30,"$92,152,260",2016-03-31,"$89,967,342",2015-12-31,"$89,360,000",2015-09-30,"$88,470,749",2015-06-30,"$85,485,851",2015-03-31,"$83,152,427",2014-12-31,"$79,187,065",2014-09-30,"$75,747,100",2014-06-30,"$74,957,227",2014-03-31,"$71,965,476",2013-12-31,"$70,087,078",2013-09-30,"$69,674,976",2013-06-30,NA,NA,NA,NA
"BBVA USA BANCSHARES, INC. (1078529)","HOUSTON, TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$69,639,420",2013-03-31,"$69,105,796",2012-12-31
"BMO FINANCIAL CORP. (1245415)","WILMINGTON, DE","$132,007,952",2016-06-30,"$125,793,219",2016-03-31,"$125,656,772",2015-12-31,"$125,419,384",2015-09-30,"$118,131,486",2015-06-30,"$118,263,888",2015-03-31,"$115,879,565",2014-12-31,"$119,791,374",2014-09-30,"$116,160,559",2014-06-30,"$114,499,474",2014-03-31,"$111,073,727",2013-12-31,"$113,051,766",2013-09-30,"$112,349,784",2013-06-30,"$122,361,785",2013-03-31,"$116,109,476",2012-12-31
"BOK FINANCIAL CORPORATION (1883693)","TULSA, OK","$32,050,291",2016-06-30,"$31,450,894",2016-03-31,"$31,495,590",2015-12-31,"$30,601,382",2015-09-30,"$30,846,158",2015-06-30,"$30,371,794",2015-03-31,"$29,148,050",2014-12-31,"$29,103,689",2014-09-30,"$27,853,768",2014-06-30,"$27,365,683",2014-03-31,"$27,021,529",2013-12-31,"$27,174,025",2013-09-30,"$27,806,179",2013-06-30,"$27,442,638",2013-03-31,"$28,146,503",2012-12-31
